Name,City,State,Country,Latitude,Longitude,Nearby Buoy Number,Average Power Flux (kW/m),Bathymetry,Sea Bed,Time Zone,Data Source,Notes,,,,,,,,,
PacWave North,Newport,Oregon,United States,44.6899 N,124.1346 W,NDBC 46094,37,Gently Sloping,Soft Sand,-7,Sandia; SAND2015-7963,Pacific Marine Energy Test Center - North Energy Test Site,,,,,,,,,
Hs/Te,0.50,1.50,2.50,3.50,4.50,5.50,6.50,7.50,8.50,9.50,10.50,11.50,12.50,13.50,14.50,15.50,16.50,17.50,18.50,19.50,20.50
0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.75,0.00,0.00,0.00,0.00,0.00,0.02,0.37,0.80,1.18,1.03,0.85,0.63,0.22,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.00,0.00,0.00,0.00,0.00,0.09,1.17,4.79,6.52,5.06,2.36,1.51,0.56,0.11,0.05,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.00,0.00,0.00,0.00,0.00,0.02,0.68,3.43,6.35,5.15,2.22,1.37,0.57,0.29,0.02,0.01,0.02,0.00,0.00,0.00,0.00
2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.13,1.50,3.70,4.58,3.03,1.46,0.62,0.27,0.11,0.08,0.00,0.00,0.00,0.00,0.00
2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.69,2.45,3.39,3.25,1.54,0.54,0.37,0.08,0.05,0.05,0.00,0.00,0.00,0.00
3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.63,2.55,2.35,1.37,0.67,0.21,0.15,0.01,0.04,0.00,0.00,0.00,0.00
3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.81,1.84,1.68,0.93,0.65,0.23,0.11,0.03,0.01,0.01,0.00,0.00,0.00
4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.20,1.20,0.75,0.41,0.22,0.14,0.04,0.00,0.00,0.00,0.00,0.00
4.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.42,0.57,0.60,0.30,0.16,0.03,0.03,0.00,0.00,0.00,0.00,0.00
5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.24,0.30,0.22,0.14,0.06,0.00,0.00,0.00,0.00,0.00,0.00
5.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.17,0.13,0.09,0.02,0.00,0.00,0.00,0.00,0.00,0.00
6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.11,0.08,0.01,0.02,0.00,0.00,0.00,0.00,0.00
6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.04,0.00,0.02,0.00,0.00,0.00,0.00,0.00
7.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00
7.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
