T,s
0,1
0.626001,1.00537
1.252,1.01076
1.878,1.01617
2.50401,1.02159
3.13001,1.02704
3.75601,1.0325
4.38201,1.03799
5.00801,1.04349
5.63401,1.04903
6.26001,1.05458
6.88602,1.06017
7.51202,1.06578
8.13802,1.07142
8.76402,1.07709
9.39002,1.0828
10.016,1.08854
10.642,1.09432
11.268,1.10015
11.894,1.10601
12.52,1.11192
13.146,1.11789
13.772,1.1239
14.398,1.12998
15.024,1.13611
15.65,1.14231
16.276,1.14859
16.902,1.15493
17.528,1.16137
18.154,1.16789
18.78,1.17451
19.406,1.18124
20.032,1.18808
20.658,1.19506
21.284,1.20217
21.9101,1.20945
22.5361,1.2169
23.1621,1.22455
23.7881,1.23243
24.4141,1.24058
25.0401,1.24903
25.6661,1.25786
26.2921,1.26714
26.9181,1.27697
27.5441,1.28751
28.1701,1.29898
28.7961,1.31177
29.4221,1.32658
30.0481,1.34509
30.6741,1.37353
30.6741,1.50462
30.0481,1.54123
29.4221,1.56403
28.7961,1.58158
28.1701,1.59623
27.5441,1.60898
26.9181,1.62037
26.2921,1.63075
25.6661,1.64031
25.0401,1.64922
24.4141,1.65758
23.7881,1.66548
23.1621,1.67297
22.5361,1.68011
21.9101,1.68695
21.284,1.69351
20.658,1.69982
20.032,1.70592
19.406,1.71181
18.78,1.71753
18.154,1.72307
17.528,1.72846
16.902,1.73372
16.276,1.73884
15.65,1.74384
15.024,1.74873
14.398,1.75351
13.772,1.75819
13.146,1.76279
12.52,1.7673
11.894,1.77173
11.268,1.77608
10.642,1.78036
10.016,1.78458
9.39002,1.78873
8.76402,1.79282
8.13802,1.79685
7.51202,1.80084
6.88602,1.80477
6.26001,1.80865
5.63401,1.81249
5.00801,1.81628
4.38201,1.82003
3.75601,1.82374
3.13001,1.82742
2.50401,1.83106
1.878,1.83467
1.252,1.83824
0.626001,1.84178
0,1.8453
