P,h
5.02351,238.439
5.06374,239.419
5.10421,240.405
5.14494,241.399
5.18591,242.4
5.22713,243.408
5.26861,244.424
5.31035,245.448
5.35234,246.48
5.39458,247.521
5.43709,248.571
5.47987,249.63
5.52292,250.698
5.56623,251.777
5.6098,252.866
5.65364,253.965
5.69774,255.077
5.74212,256.2
5.78677,257.335
5.83171,258.484
5.87693,259.646
5.92242,260.823
5.9682,262.014
6.01427,263.223
6.06064,264.448
6.1073,265.691
6.15426,266.953
6.20152,268.236
6.24908,269.542
6.29694,270.871
6.34511,272.226
6.39358,273.609
6.44236,275.022
6.49148,276.469
6.54094,277.952
6.59072,279.476
6.64082,281.044
6.69125,282.663
6.74203,284.339
6.79316,286.08
6.84469,287.896
6.89652,289.798
6.94873,291.805
7.00134,293.937
7.05433,296.227
7.10773,298.723
7.16156,301.5
7.21583,304.69
7.27059,308.562
7.32586,313.876
7.32585,353.704
7.27058,360.331
7.21583,364.969
7.16156,368.652
7.10774,371.75
7.05434,374.449
7.00135,376.854
6.94874,379.032
6.89651,381.028
6.84466,382.874
6.79317,384.594
6.74204,386.206
6.69126,387.723
6.64082,389.158
6.59072,390.52
6.54095,391.817
6.49151,393.054
6.44239,394.237
6.39359,395.371
6.34511,396.46
6.29694,397.507
6.24909,398.516
6.20153,399.488
6.15428,400.427
6.10732,401.334
6.06067,402.212
6.0143,403.062
5.96823,403.886
5.92244,404.686
5.87694,405.461
5.83172,406.215
5.78678,406.947
5.74212,407.66
5.69773,408.353
5.65362,409.028
5.60978,409.685
5.56621,410.325
5.52291,410.95
5.47987,411.559
5.4371,412.153
5.39459,412.732
5.35234,413.298
5.31035,413.851
5.26862,414.391
5.22714,414.919
5.18591,415.434
5.14494,415.938
5.10421,416.431
5.06374,416.914
5.02351,417.385
