Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,572255,b'Oregon',44.6881,-124.136,0,-8,4500.5303,-,s,deg,s,deg,s,W/m,s,m,-,47,v1.0.0
Year,Month,Day,Hour,Minute,Significant Wave Height,Energy Period
2010,1,10,18,0,2.9420299530029297,12.287199974060059
2010,1,10,21,0,2.7727999687194824,11.399499893188477
2010,1,11,0,0,2.6631999015808105,10.662599563598633
2010,1,11,3,0,2.839709997177124,10.380900382995605
2010,1,11,6,0,3.2129499912261963,10.746800422668457
2010,1,11,9,0,3.8452999591827393,11.365099906921387
2010,1,11,12,0,4.450729846954346,11.970399856567383
2010,1,11,15,0,4.480820178985596,12.108599662780762
2010,1,11,18,0,4.31997013092041,11.85159969329834
2010,1,11,21,0,4.097829818725586,11.756799697875977
2010,1,12,0,0,4.069640159606934,11.909099578857422
2010,1,12,3,0,4.621789932250977,12.25059986114502
2010,1,12,6,0,5.3425397872924805,12.156299591064453
2010,1,12,9,0,4.938159942626953,12.29170036315918
2010,1,12,12,0,4.612480163574219,12.580900192260742
2010,1,12,15,0,4.4947099685668945,13.246199607849121
2010,1,12,18,0,4.5208001136779785,13.679800033569336
2010,1,12,21,0,4.666600227355957,13.509300231933594
2010,1,13,0,0,4.675899982452393,13.545499801635742
2010,1,13,3,0,4.524400234222412,13.900099754333496
2010,1,13,6,0,4.38677978515625,14.073100090026855
2010,1,13,9,0,4.277160167694092,13.998800277709961
2010,1,13,12,0,4.3574700355529785,13.309900283813477
2010,1,13,15,0,4.966450214385986,11.715399742126465
2010,1,13,18,0,5.272850036621094,11.141900062561035
2010,1,13,21,0,5.082859992980957,10.860300064086914
2010,1,14,0,0,4.543059825897217,11.08549976348877
2010,1,14,3,0,3.9725799560546875,11.621600151062012
2010,1,14,6,0,3.617140054702759,11.844400405883789
2010,1,14,9,0,3.3896899223327637,11.916899681091309
2010,1,14,12,0,3.237839937210083,11.83810043334961
2010,1,14,15,0,3.146519899368286,11.267200469970703
2010,1,14,18,0,3.0699799060821533,10.326499938964844
2010,1,14,21,0,2.973939895629883,9.604299545288086
2010,1,15,0,0,3.1513400077819824,9.502400398254395
2010,1,15,3,0,3.407949924468994,10.027899742126465
2010,1,15,6,0,3.4847300052642822,10.548100471496582
2010,1,15,9,0,3.5444700717926025,10.666600227355957
2010,1,15,12,0,3.572580099105835,10.235099792480469
2010,1,15,15,0,4.087679862976074,9.412300109863281
2010,1,15,18,0,4.877049922943115,9.942500114440918
2010,1,15,21,0,4.574960231781006,10.718400001525879
2010,1,16,0,0,3.867110013961792,11.083900451660156
2010,1,16,3,0,3.4999499320983887,11.196200370788574
2010,1,16,6,0,3.278700113296509,11.280400276184082
2010,1,16,9,0,3.122390031814575,11.30370044708252
2010,1,16,12,0,2.977940082550049,11.233799934387207
2010,1,16,15,0,2.8347198963165283,11.073399543762207
2010,1,16,18,0,2.6979799270629883,10.858099937438965
2010,1,16,21,0,2.558069944381714,10.665200233459473
2010,1,17,0,0,2.4210100173950195,10.478699684143066
2010,1,17,3,0,2.526010036468506,9.207300186157227
2010,1,17,6,0,2.525899887084961,8.738100051879883
2010,1,17,9,0,2.4296200275421143,8.51669979095459
2010,1,17,12,0,2.7624900341033936,8.257599830627441
2010,1,17,15,0,3.2935099601745605,10.436200141906738
2010,1,17,18,0,3.81141996383667,11.53380012512207
2010,1,17,21,0,4.311260223388672,12.794500350952148
