Manufacturer,Technology,Message,Parameters,Nser,Error Param Type,Error Param Value,Parameters Out
Heliene,Mono-c-Si,-33,{ celltype=mono vmp=32.51 isc=9.45 imp=9.03 beta_voc=-0.121234 voc=39.49 alpha_isc=0.0053865 gamma_pmp=-0.429 n_ser=0 t_ref=25 },0,P,295.174884,"[('a', 1.9148), ('Il', 8.733893516331), ('Io', 7.428039050023074e-10), ('Rs', 0.3395908543922983), ('Rsh', 561.4240153042805), ('Adj', 0.0)]"
GCL System Integration Technology Co._ Ltd.,Multi-c-Si,-33,{ celltype=multi vmp=30.8 isc=9.09 imp=8.44 beta_voc=-0.12886 voc=37.9 alpha_isc=0.0060903 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1,P,0.0,"[('a', 0.6524), ('Il', 11.109176229557), ('Io', 1e-15), ('Rs', 0.2869910625620655), ('Rsh', 259.4439637201224), ('Adj', 0.0)]"
GCL System Integration Technology Co._ Ltd.,Multi-c-Si,-33,{ celltype=multi vmp=31 isc=9.2 imp=8.55 beta_voc=-0.12954 voc=38.1 alpha_isc=0.006164 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1,P,0.0,"[('a', 0.6524), ('Il', 11.03560552605), ('Io', 1e-15), ('Rs', 0.28900000000000003), ('Rsh', 259.3033672041595), ('Adj', 0.0)]"
GCL System Integration Technology Co._ Ltd.,Multi-c-Si,-33,{ celltype=multi vmp=31.2 isc=9.29 imp=8.65 beta_voc=-0.13022 voc=38.3 alpha_isc=0.0062243 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1,P,0.0,"[('a', 0.6524), ('Il', 10.962034822543), ('Io', 1e-15), ('Rs', 0.29103726082578046), ('Rsh', 258.6424354773923), ('Adj', 0.0)]"
GCL System Integration Technology Co._ Ltd.,Multi-c-Si,-33,{ celltype=multi vmp=37.2 isc=9.08 imp=8.47 beta_voc=-0.15504 voc=45.6 alpha_isc=0.0060836 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1,P,0.0,"[('a', 0.6524), ('Il', 10.888464119035998), ('Io', 1e-15), ('Rs', 0.2896551724137931), ('Rsh', 257.9769143999794), ('Adj', 0.0)]"
GCL System Integration Technology Co._ Ltd.,Multi-c-Si,-33,{ celltype=multi vmp=37.4 isc=9.17 imp=8.56 beta_voc=-0.15572 voc=45.8 alpha_isc=0.0061439 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1,P,0.0,"[('a', 0.6524), ('Il', 10.814893415529001), ('Io', 1e-15), ('Rs', 0.2882533197139941), ('Rsh', 257.3067560043639), ('Adj', 0.0)]"
GCL System Integration Technology Co._ Ltd.,Multi-c-Si,-33,{ celltype=multi vmp=37.6 isc=9.24 imp=8.64 beta_voc=-0.1564 voc=46 alpha_isc=0.0061908 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1,P,0.0,"[('a', 0.6524), ('Il', 10.741322712022), ('Io', 1e-15), ('Rs', 0.2868312757201645), ('Rsh', 256.63191165218507), ('Adj', 0.0)]"
GCL System Integration Technology Co._ Ltd.,Multi-c-Si,-33,{ celltype=multi vmp=37.8 isc=9.33 imp=8.73 beta_voc=-0.15708 voc=46.2 alpha_isc=0.0062511 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1,P,0.0,"[('a', 0.6524), ('Il', 10.667752008515), ('Io', 1e-15), ('Rs', 0.2889119170984457), ('Rsh', 255.95233202250245), ('Adj', 0.0)]"
GCL System Integration Technology Co._ Ltd.,Multi-c-Si,-4,{ celltype=multi vmp=38 isc=9.41 imp=8.82 beta_voc=-0.15776 voc=46.4 alpha_isc=0.0063047 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1,Rs,-0.08795071402838817,"[('a', 1.9671890613528222), ('Il', 8.716875554015866), ('Io', 1.2939550311775825e-08), ('Rs', -0.08795071402838817), ('Rsh', 27.937914282452308), ('Adj', 23.33007424584663)]"
GCL System Integration Technology Co._ Ltd.,Multi-c-Si,-3,{ celltype=multi vmp=38.2 isc=9.49 imp=8.9 beta_voc=-0.15844 voc=46.6 alpha_isc=0.0063583 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1,Io,-4.965325393416227e-10,"[('a', 2.0209034290241434), ('Il', 9.619933093165367), ('Io', -4.965325393416227e-10), ('Rs', 0.08639707359475923), ('Rsh', -778.7836753742567), ('Adj', 42.60464213440911)]"
GCL System Integration Technology Co._ Ltd.,Multi-c-Si,-33,{ celltype=multi vmp=38.4 isc=9.57 imp=8.99 beta_voc=-0.15912 voc=46.8 alpha_isc=0.0064119 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1,P,0.0,"[('a', 0.1001), ('Il', 10.142246983465), ('Io', 1e-15), ('Rs', 0.2557522123893805), ('Rsh', 189.1626859749265), ('Adj', 0.0)]"
Seraphim Energy Group Inc.,Multi-c-Si,-33,{ celltype=multi vmp=29.8 isc=8.6 imp=8.06 beta_voc=-0.0967887 voc=36.9 alpha_isc=0.0036722 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1,P,0.0,"[('a', 0.1001), ('Il', 10.226327787473), ('Io', 1e-15), ('Rs', 0.2529540481400439), ('Rsh', 192.92151265642644), ('Adj', 0.0)]"
Seraphim Energy Group Inc.,Multi-c-Si,-33,{ celltype=multi vmp=29.8 isc=8.6 imp=8.06 beta_voc=-0.0967887 voc=36.9 alpha_isc=0.0036722 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1,P,0.0,"[('a', 0.1001), ('Il', 10.320918691982001), ('Io', 1e-15), ('Rs', 0.25021645021645017), ('Rsh', 194.87867270918431), ('Adj', 0.0)]"
Seraphim Energy Group Inc.,Multi-c-Si,-33,{ celltype=multi vmp=29.9 isc=8.76 imp=8.21 beta_voc=-0.097051 voc=37 alpha_isc=0.00374052 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1,P,0.0,"[('a', 0.1001), ('Il', 10.404999495990001), ('Io', 1e-15), ('Rs', 0.24780278670953906), ('Rsh', 196.9489295481207), ('Adj', 0.0)]"
