Manufacturer,Model,Technology,Message,Parameters,Nser
Heliene,60M305,Mono-c-Si,"""fail(Nser, positive): 0""",{ celltype=mono vmp=32.51 isc=9.45 imp=9.03 beta_voc=-0.121234 voc=39.49 alpha_isc=0.0053865 gamma_pmp=-0.429 n_ser=0 t_ref=25 },0
GCL System Integration Technology Co._ Ltd.,GCL-P6/60B260,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=30.8 isc=9.09 imp=8.44 beta_voc=-0.12886 voc=37.9 alpha_isc=0.0060903 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1
GCL System Integration Technology Co._ Ltd.,GCL-P6/60B265,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31 isc=9.2 imp=8.55 beta_voc=-0.12954 voc=38.1 alpha_isc=0.006164 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1
GCL System Integration Technology Co._ Ltd.,GCL-P6/60B270,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=31.2 isc=9.29 imp=8.65 beta_voc=-0.13022 voc=38.3 alpha_isc=0.0062243 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B315,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.2 isc=9.08 imp=8.47 beta_voc=-0.15504 voc=45.6 alpha_isc=0.0060836 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B320,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.4 isc=9.17 imp=8.56 beta_voc=-0.15572 voc=45.8 alpha_isc=0.0061439 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B325,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.6 isc=9.24 imp=8.64 beta_voc=-0.1564 voc=46 alpha_isc=0.0061908 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B330,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=37.8 isc=9.33 imp=8.73 beta_voc=-0.15708 voc=46.2 alpha_isc=0.0062511 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B335,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=38 isc=9.41 imp=8.82 beta_voc=-0.15776 voc=46.4 alpha_isc=0.0063047 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B340,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=38.2 isc=9.49 imp=8.9 beta_voc=-0.15844 voc=46.6 alpha_isc=0.0063583 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B345,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=38.4 isc=9.57 imp=8.99 beta_voc=-0.15912 voc=46.8 alpha_isc=0.0064119 gamma_pmp=-0.443 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-240WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=29.8 isc=8.6 imp=8.06 beta_voc=-0.0967887 voc=36.9 alpha_isc=0.0036722 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-240WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=29.8 isc=8.6 imp=8.06 beta_voc=-0.0967887 voc=36.9 alpha_isc=0.0036722 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-245WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=29.9 isc=8.76 imp=8.21 beta_voc=-0.097051 voc=37 alpha_isc=0.00374052 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-245WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=29.9 isc=8.76 imp=8.21 beta_voc=-0.097051 voc=37 alpha_isc=0.00374052 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-250WB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=29.9 isc=8.92 imp=8.35 beta_voc=-0.0973133 voc=37.1 alpha_isc=0.00380884 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-250WW,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=29.9 isc=8.92 imp=8.35 beta_voc=-0.0973133 voc=37.1 alpha_isc=0.00380884 gamma_pmp=-0.4573 n_ser=1 t_ref=25 },1
Seraphim Energy Group Inc.,SEG-6PB-255BB,Multi-c-Si,"""could not solve, check inputs""",{ celltype=multi vmp=30.5 isc=8.65 imp=8.37 beta_voc=-0.141 voc=37.6 alpha_isc=0.00519 gamma_pmp=-0.46 n_ser=1 t_ref=25 },1
