name,lat,lon
"Aberdeen Airport, SD",45.45,-98.43
"Aberdeen, WA",46.98,-123.82
"Abilene Airport, TX",32.42,-99.68
"Ada, OK",34.78,-96.68
"Adrian, MI",41.92,-84.02
"Akron-Canton Airport, OH",40.92,-81.43
"Alamosa Airport, CO",37.45,-105.87
"Albany Airport - South, NY",42.75,-73.8
"Albany, NY",42.65,-73.75
"Albany, OR",44.63,-123.12
"Albany, Turner AFB, GA",31.6,-84.08
"Albert Lea, MN",43.65,-93.35
"Albuquerque Airport - South, NM",35.05,-106.62
"Alexander City, AL",32.95,-85.95
"Alexandria Airport, LA",31.4,-92.3
"Alexandria Airport, MN",45.87,-95.38
"Alice Airport, TX",27.73,-98.03
"Allentown Airport, PA",40.65,-75.43
"Alpena Airport, MI",45.07,-83.43
"Altoona, PA",40.3,-78.32
"Altus AFB, OK",34.65,-99.27
"Amarillo Airport, TX",35.23,-100.7
"Americus, GA",32.05,-84.23
"Ames - South, IA",42.03,-93.8
"Anderson, IN",40.1,-85.62
"Anderson, SC",34.5,-82.72
"Andrews AFB, DC",38.08,-76.08
"Annapolis, MD",38.98,-76.49
"Anniston Airport, AL",33.58,-85.85
"Appleton, WI",44.25,-88.38
"Ardmore, OK",34.3,-97.02
"Artesia, NM",32.77,-104.38
"Asheville Airport, NC",35.43,-82.53
"Ashland, KY",38.55,-82.73
"Ashland, WI",46.57,-90.97
"Ashtabula, OH",41.85,-80.8
"Astoria Airport - South, OR",46.15,-123.88
"Atchison, KS",39.57,-95.12
"Athens, GA",33.95,-83.32
"Athens, OH",39.33,-82.1
"Athens, TN",35.43,-84.58
"Atlanta Airport - South, GA",33.65,-84.43
"Atlantic City, NJ",39.38,-74.43
"Auburn, AL",32.6,-85.5
"Auburn, NY",42.9,-76.53
"Augusta Airport, GA",33.37,-81.97
"Augusta, ME",44.31,-69.78
"Aurora, IL",41.75,-88.33
"Austin, TX",30.28,-97.74
"Baker Airport, OR",44.83,-117.82
"Bakersfield Airport, CA",35.42,-119.05
"Baltimore Airport, MD",39.18,-76.67
"Baltimore, MD",39.33,-76.42
"Bangor, Dow AFB, ME",44.8,-68.83
"Barre, VT",44.2,-72.52
"Barstow Airport, CA",34.85,-116.78
"Bartlesville, OK",36.75,-96
"Batavia, NY",43,-78.18
"Baton Rouge, LA",30.45,-91.19
"Battle Creek Airport, MI",42.32,-85.25
"Bay City, TX",29,-95.97
"Beatrice, NE",40.27,-96.75
"Beaumont, TX",29.95,-94.02
"Beckley, WV",37.78,-81.12
"Bedford, IN",38.85,-86.5
"Beeville, TX",28.37,-97.67
"Belle Glade, FL",26.65,-80.65
"Belleville, Scott AFB, IL",38.55,-89.85
"Bellingham Airport, WA",48.8,-122.53
"Beloit, WI",42.5,-89.03
"Bemidji Airport, MN",47.52,-94.93
"Bend, OR",44.07,-121.32
"Benton Harbor Airport, MI",42.13,-86.43
"Berlin, NH",44.05,-71.02
"Big Spring Airport - South, TX",32.3,-101.45
"Billings Airport, MT",45.8,-108.53
"Biloxi--Keesler AFB, MS",30.42,-88.92
"Binghamton Airport, NY",42.22,-75.98
"Birmingham Airport, AL",33.57,-86.75
"Bismarck, ND",46.81,-100.78
"Bloomington, IL",40.48,-88.95
"Bloomington, IN",39.13,-86.62
"Bluefield Airport, WV",37.3,-81.22
"Blythe Airport, CA",33.62,-114.72
"Blytheville AFB, AR",35.95,-89.95
"Bogalusa, LA",30.78,-89.87
"Boise, ID",43.62,-116.2
"Boston, MA",42.36,-71.06
"Boulder, CO",40,-105.27
"Bowling Green Airport, KY",35.97,-86.47
"Bowling Green, OH",41.38,-83.63
"Bozeman, MT",45.78,-111.15
"Brainerd, MN",46.4,-94.13
"Bremerton, WA",47.57,-122.67
"Bridgeport Airport, CT",41.18,-73.18
"Bristol-Tri City Airport, TN",36.48,-82.4
"Brookings, SD",44.3,-96.8
"Brownsville Airport - South, TX",25.9,-97.43
"Brownwood, TX",31.8,-98.95
"Brunswick, GA",31.25,-81.48
"Bryan Airport, TX",30.67,-96.55
"Buffalo Airport, NY",42.93,-78.73
"Burbank Airport, CA",34.2,-118.35
"Burley, ID",42.53,-113.77
"Burlington Airport - South, VT",44.47,-73.15
"Burlington Airport, IA",40.78,-91.12
"Butler, PA",40.87,-79.9
"Butte Airport, MT",45.95,-112.5
"Cambridge, OH",40.07,-81.58
"Camden, AR",33.6,-92.82
"Cape Girardeau, MO",37.23,-89.58
"Cape Kennedy Airport, FL",28.48,-80.57
"Carbondale, IL",37.78,-89.25
"Caribou Airport - South, ME",46.87,-68.02
"Carlsbad Airport, NM",32.33,-104.27
"Carson City, NV",39.17,-119.77
"Casper Airport, WY",42.92,-106.47
"Cedar City Airport, UT",37.7,-113.1
"Cedar Rapids Airport, IA",41.88,-91.7
"Chadron Airport, NE",42.83,-103.08
"Chambersburg, PA",39.93,-77.63
"Champaign-Urbana, IL",40.03,-88.28
"Chanute Airport, KS",37.67,-95.48
"Charleston AFB - South, SC",32.9,-80.03
"Charleston, WV",38.35,-81.63
"Charleston, SC",32.9,-79.97
"Charlotte Airport, NC",35.22,-80.93
"Charlottesville, VA",38.03,-78.52
"Chattanooga Airport, TN",35.03,-85.2
"Cheyenne, WY",41.15,-104.82
"Chicago, IL",41.88,-87.63
"Chicago, Midway Airport, IL",41.78,-87.75
"Chicago, O'Hare Airport, IL",41.98,-87.9
"Chickasha, OK",35.05,-97.92
"Chico, CA",39.8,-121.85
"Chillicothe, OH",39.35,-83
"Cincinnati, OH",39.15,-84.52
"Claremont, NH",43.03,-72.03
"Clarksburg, WV",39.27,-80.35
"Clarksdale, MS",34.2,-90.57
"Clarksville, TN",36.55,-87.37
"Cleveland Airport - South, OH",41.4,-81.85
"Clinton, IA",41.83,-90.22
"Clinton, MA",42.4,-71.68
"Clovis Airport, NM",34.38,-103.32
"Cody Airport, WY",44.55,-109.07
"Coeur D'Alene Airport, ID",47.77,-116.82
"Colorado Springs Airport, CO",38.82,-104.72
"Columbia Airport - South, MO",38.97,-92.37
"Columbia, SC",34,-81.03
"Columbia, TN",35.63,-87.03
"Columbus AFB, MS",33.65,-88.45
"Columbus, OH",39.96,-83
"Columbus, Bakalar AFB, IN",39.27,-85.9
"Columbus, Lawson AFB, GA",32.52,-84.93
"Columbus, NE",41.47,-97.33
"Concord, NH",43.21,-71.54
"Concord, CA",37.97,-121.98
"Corbin Airport, KY",36.95,-84.1
"Corpus Christi Airport, TX",27.77,-97.5
"Corsicana, TX",32.08,-96.47
"Cortland, NY",42.6,-76.18
"Corvallis - South, OR",44.5,-123.28
"Council Bluffs, IA",41.33,-95.82
"Covina, CA",34.08,-117.87
"Covington Airport, KY",39.05,-84.67
"Crawfordsville, IN",40.05,-86.9
"Crescent City Airport, CA",41.77,-124.2
"Cumberland, MD",39.62,-78.77
"Cut Bank Airport, MT",48.62,-112.37
"Dallas Airport, TX",32.85,-96.85
"Dalton, GA",34.57,-84.95
"Danville Airport, VA",36.57,-79.33
"Danville, IL",40.2,-87.6
"Dayton Airport, OH",39.9,-84.22
"Daytona Beach Airport, FL",29.18,-81.05
"Decatur, AL",34.62,-86.98
"Decatur, IL",39.83,-88.87
"Defiance, OH",41.28,-84.38
"Del Rio, Laughlin AFB, TX",29.37,-100.78
"Denton, TX",33.2,-97.1
"Denver, CO",39.74,-104.99
"Des Moines, IA",41.59,-93.63
"Detroit, MI",42.42,-83.02
"Devils Lake, ND",48.12,-98.9
"Dickinson Airport, ND",46.8,-102.8
"Dixon, IL",41.83,-89.48
"Dodge City Airport - South, KS",37.77,-99.97
"Dothan Airport, AL",31.32,-85.45
"Douglas Airport, AZ",31.45,-109.6
"Dover, DE",39.16,-75.52
"Downey, CA",33.93,-118.13
"Dublin, GA",32.33,-82.9
"Dubuque, IA",42.4,-90.7
"Duluth Airport, MN",46.83,-92.18
"Dunkirk, NY",42.48,-79.27
"Durango, CO",37.28,-107.88
"Durham, NC",35.87,-78.78
"Dyersburg, TN",36.02,-89.4
"E Fort Lauderdale, FL",26.07,-80.15
"Eagle Pass, TX",28.87,-100.53
"Eau Claire Airport, WI",44.87,-91.48
"El Cajon, CA",32.82,-116.97
"El Cerrito Airport - South, CA",32.82,-115.67
"El Dorado Airport, AR",33.22,-92.82
"El Dorado, KS",37.82,-96.83
"El Paso Airport - South, TX",31.8,-106.4
"Elgin, IL",42.03,-88.27
"Elizabeth City Airport, NC",36.27,-76.18
"Elkins Airport, WV",38.88,-79.85
"Elko Airport, NV",40.83,-115.78
"Ellensburg Airport, WA",47.03,-120.52
"Elmira Airport, NY",42.17,-76.9
"Ely Airport - South, NV",39.28,-114.85
"Emporia, KS",38.33,-96.2
"Enid, Vance AFB, OK",36.35,-97.92
"Erie Airport, PA",42.08,-80.18
"Escanaba, MI",45.73,-87.08
"Escondido, CA",33.12,-117.08
"Eugene Airport, OR",44.12,-123.22
"Eureka-Arcata Airport, CA",40.98,-124.1
"Evanston, WY",41.27,-110.95
"Evansville Airport, IN",38.05,-87.53
"Everett, Paine AFB, WA",47.92,-122.28
"Fairbault, MN",44.3,-93.27
"Fairfield-Trafis AFB, CA",38.27,-121.93
"Fall River, MA",41.72,-71.13
"Fargo Airport, ND",46.9,-96.8
"Farmington Airport, MO",37.77,-90.4
"Farmington Airport, NM",36.73,-108.23
"Fayetteville Airport, AR",36,-94.17
"Fayetteville, Pope AFB, NC",35.17,-79.02
"Fergus Falls, MN",46.27,-96.07
"Findlay Airport, OH",41.02,-83.67
"Flagstaff Airport, AZ",35.13,-111.67
"Flint Airport, MI",42.97,-83.73
"Florence Airport, AL",34.8,-87.67
"Florence Airport, SC",34.18,-79.72
"Fond Du Lac, WI",43.8,-88.45
"Fort Collins, CO",40.75,-105.08
"Fort Dodge, IA",42.55,-94.18
"Fort Huachuca Airport - South, AZ",31.58,-110.33
"Fort Myers Airport, FL",26.58,-81.87
"Fort Pierce, FL",27.47,-80.35
"Fort Smith Airport, AR",35.33,-94.37
"Fort Wayne Airport, IN",41,-85.2
"Fort Worth Airport - South, TX",32.83,-97.05
"Framingham, MA",42.28,-71.42
"Frankfort, KY",38.2,-84.87
"Frederick Airport, MD",39.45,-77.42
"Fredericksburg, VA",38.3,-77.47
"Freeport, IL",42.3,-89.62
"Fremont, NE",41.43,-96.48
"Fremont, OH",41.33,-83.12
"Fresno Airport - South, CA",36.77,-119.72
"Gadsden, AL",34.02,-86
"Gainesville Airport - South, FL",29.68,-82.27
"Gainesville, GA",34.18,-83.68
"Galesburg, IL",40.93,-90.43
"Gallup, NM",35.52,-108.78
"Galveston Airport, TX",29.3,-94.8
"Garden City Airport, KS",37.93,-100.73
"Geneva - South, NY",42.75,-76.9
"Georgetown, SC",33.38,-79.28
"Glasgow Airport - South, MT",48.42,-106.53
"Glendive, MT",47.13,-104.8
"Glens Falls, NY",43.33,-73.62
"Gloucester, MA",42.58,-70.68
"Gloversville, NY",43.03,-74.35
"Goldsboro,Seymour-Johnson, NC",35.33,-77.97
"Goodfellow AFB, TX",31.43,-100.4
"Goodland Airport, KS",39.37,-101.7
"Goshen Airport, IN",41.53,-85.8
"Grand Forks Airport, ND",47.95,-97.4
"Grand Island Airport, NE",40.98,-98.32
"Grand Junction Airport - South, CO",39.12,-108.53
"Grand Rapids Airport, MI",42.88,-85.52
"Grants Pass, OR",42.43,-123.32
"Grants, NM",35.17,-107.9
"Great Bend, KS",38.35,-98.87
"Great Falls Airport - South, MT",47.48,-111.37
"Greeley, CO",40.43,-104.63
"Green Bay Airport, WI",44.48,-88.13
"Greenfield, MA",42.05,-72.07
"Greensboro Airport - South, NC",36.08,-79.95
"Greenville AFB, MS",33.48,-90.98
"Greenville Airport, SC",34.9,-82.22
"Greenville, IL",38.88,-89.4
"Greenville, NC",35.62,-77.42
"Greenville, TN",36.07,-82.83
"Greenville, TX",33.07,-96.05
"Greenwood, MS",33.5,-90.08
