,Diffuse irradiance|W/m2,Global horizontal irradiance|W/m2,Beam irradiance|W/m2,Plane of array irradiance|W/m2
"Jan 1, 12:00 am",0,0,0,0
"Jan 1, 01:00 am",0,0,0,0
"Jan 1, 02:00 am",0,0,0,0
"Jan 1, 03:00 am",0,0,0,0
"Jan 1, 04:00 am",0,0,0,0
"Jan 1, 05:00 am",0,0,0,0
"Jan 1, 06:00 am",0,0,0,0
"Jan 1, 07:00 am",8,8,1,7.65896
"Jan 1, 08:00 am",47,62,91,95.584
"Jan 1, 09:00 am",29,297,824,578.923
"Jan 1, 10:00 am",53,457,901,794.989
"Jan 1, 11:00 am",72,564,938,937.329
"Jan 1, 12:00 pm",79,608,958,995.849
"Jan 1, 01:00 pm",170,542,708,862.628
"Jan 1, 02:00 pm",261,324,156,433.53
"Jan 1, 03:00 pm",179,174,12,196.745
"Jan 1, 04:00 pm",70,74,24,88.806
"Jan 1, 05:00 pm",7,7,7,8.50309
"Jan 1, 06:00 pm",0,0,0,0
"Jan 1, 07:00 pm",0,0,0,0
"Jan 1, 08:00 pm",0,0,0,0
"Jan 1, 09:00 pm",0,0,0,0
"Jan 1, 10:00 pm",0,0,0,0
"Jan 1, 11:00 pm",0,0,0,0
"Jan 2, 12:00 am",0,0,0,0
"Jan 2, 01:00 am",0,0,0,0
"Jan 2, 02:00 am",0,0,0,0
"Jan 2, 03:00 am",0,0,0,0
"Jan 2, 04:00 am",0,0,0,0
"Jan 2, 05:00 am",0,0,0,0
"Jan 2, 06:00 am",0,0,0,0
"Jan 2, 07:00 am",8,14,53,23.4174
"Jan 2, 08:00 am",36,128,551,309.88
"Jan 2, 09:00 am",54,264,659,510.642
"Jan 2, 10:00 am",120,395,618,662.142
"Jan 2, 11:00 am",97,556,873,919.007
"Jan 2, 12:00 pm",188,569,689,887.304
"Jan 2, 01:00 pm",274,480,388,680.768
"Jan 2, 02:00 pm",202,474,596,737.061
"Jan 2, 03:00 pm",160,223,186,310.178
"Jan 2, 04:00 pm",89,93,21,107.434
