Name,SCA Length,Aperture,Aperture Area,Focal Len,IAM Coefficient F0,IAM Coefficient F1,AM Coefficient F2,Track Twist,Geom.Accuracy,Reflectance,Cleanliness,Dust,Factor,Availability
Units,m,m,m2,m,,,,,,,,,,
[0],lib_ScaLen,lib_SCA_aper,lib_ui_sca_aperture_area,lib_Ave_Focal_Length,lib_IamF0,lib_IamF1,lib_IamF2,lib_TrkTwstErr,lib_GeoAcc,lib_MirRef,lib_MirCln,lib_HCEdust,lib_ConcFac,lib_SfAvail
EuroTrough ET150,150,5.75,817.5,2.1,1,0.0506,-0.1763,0.99,0.98,0.935,0.97,0.98,1,0.99
Luz LS-2,50,5,235,1.8,1,0.0506,-0.1763,0.99,0.98,0.935,0.97,0.98,1,0.99
Luz LS-3,100,5.75,545,2.1,1,0.0506,-0.1763,0.99,0.98,0.935,0.97,0.98,1,0.99
Solargenix SGX-1,100,5,470.3,1.8,1,0.0506,-0.1763,0.994,0.98,0.935,0.97,0.98,1,0.99
AlbiasaTrough AT150 (Manufacturer Specifications),150,5.774,817.5,1.71,1,0.0506,-0.1763,0.99,0.98,0.935,0.97,0.98,1,0.99
Siemens SunField 6,95.2,5.776,545,2.17,1,-0.0753,-0.03698,0.99,0.968,0.925,0.97,0.98,1,0.99
SkyFuel SkyTrough (with 80-mm OD receiver),115,6,656,2.15,1,0.0327,-0.1351,0.988,0.952,0.93,0.97,0.98,1,0.99
FLABEG Ultimate Trough RP6 (with 89-mm OD receiver for oil HTF),247,7.53,1720,2.38,1,-0.005,-0.102,0.988,0.99,0.94,0.97,0.98,1,0.99
FLABEG Ultimate Trough RP6 (with 70-mm OD receiver for molten-salt HTF),247,7.53,1720,2.38,1,-0.008,-0.117,0.988,0.97,0.94,0.97,0.98,1,0.99
