Name,Technology Type,PTO Type,TEC Architype,Unballasted Structural Mass,Foundation Type,Mooring Type,Primary Structure Material,Power
Units,,,m,Tonnes,,,,kW
[0],device_tech_type,device_pto_type,device_tec_architype,device_mass,device_foundation,device_mooring,device_material,lib_tidal_power_curve
RM1,Horizontal Axis Turbine,Permanent Magnet Synchronous,Axial-flow Turbine,265.9,Bottom Fixed: Pile Foundation,Taut Mooring,A36 Steel,[0;0][0.1;0][0.2;0][0.3;0][0.4;0][0.5;0][0.6;10.4211][0.7;20.8423][0.8;39.9689][0.9;59.0956][1;89.2016][1.1;119.308][1.2;160.886][1.3;202.464][1.4;259.292][1.5;316.12][1.6;392.673][1.7;469.226][1.8;570.306][1.9;671.386][2;802.908][2.1;934.43][2.2;1024.71][2.3;1115][2.4;1115][2.5;1115][2.6;1115][2.7;1115][2.8;1115][2.9;1115][3;1115][3.1;1115][3.2;1085.37][3.3;1055.73]
RM2,Vertical Axis Turbine,Synchronous,Cross-flow Turbine,39.8,Floating,Slack Mooring,A36 Steel,[0;0][0.1;0][0.2;0][0.3;0][0.4;0][0.5;0][0.6;0][0.7;2.96][0.8;4.51][0.9;6.69][1;9.34][1.1;12.76][1.2;16.81][1.3;21.63][1.4;27.39][1.5;34.08][1.6;41.24][1.7;47.78][1.8;54.16][1.9;61.79][2;69.41][2.1;76.26][2.2;79.68][2.3;80][2.4;80.62][2.5;80][2.6;79.37][2.7;79.06][2.8;0][2.9;0][3;0][3.1;0][3.2;0][3.3;0]
