Name,SRCC Number,Type,Test Fluid,Test Flow Rate,Area,FRta,FRUL,IAM
Units,,,,kg/s,m2,,W/m2-C,
[0],srcc_num,srcc_type,srcc_test_fluid,srcc_test_flow,srcc_area,srcc_FRta,srcc_FRUL,srcc_iam
ACR Solar International Skyline 20-01,2001002A ,Glazed Flat-Plate,0,0.0316,1.87,0.605,3.84,0.19
ACR Solar International Skyline 10-01,2001002B ,Glazed Flat-Plate,0,0.0316,0.93,0.603,3.87,0.19
Advanced Thermal Solar  LLC Advanced Thermal Solar  LLC SP-S58 1800A-10,2009106Ai ,Tubular,0,0,1.61,0.3,2,-1.8
Advanced Thermal Solar  LLC Advanced Thermal Solar  LLC SP-S58 1800A-22,2009106Bi ,Tubular,0,0,3.84,0.3,2,-1.8
Advanced Thermal Solar  LLC Advanced Thermal Solar  LLC SP-S58 1800A-30,2009106Ci ,Tubular,0,0,5.12,0.3,2,-1.8
Alternate Energy Technologies Alternate Energy AE-21,2002001A ,Glazed Flat-Plate,0,0.0388,1.93,0.691,3.4,0.19
Alternate Energy Technologies Alternate Energy AE-24,2002001B ,Glazed Flat-Plate,0,0.0388,2.21,0.691,3.4,0.19
Alternate Energy Technologies Alternate Energy AE-26,2002001C ,Glazed Flat-Plate,0,0.0388,2.35,0.691,3.4,0.19
Alternate Energy Technologies Alternate Energy AE-28,2002001D ,Glazed Flat-Plate,0,0.0388,2.6,0.691,3.4,0.19
Alternate Energy Technologies Alternate Energy AE-32,2002001E ,Glazed Flat-Plate,0,0.0388,2.96,0.691,3.4,0.19
Alternate Energy Technologies Alternate Energy AE-40,2002001F ,Glazed Flat-Plate,0,0.0388,3.7,0.691,3.4,0.19
Alternate Energy Technologies Alternate Energy AE-56,2002001G ,Glazed Flat-Plate,0,0.0388,5.18,0.691,3.4,0.19
Alternate Energy Technologies Alternate Energy AE-50,2002001H ,Glazed Flat-Plate,0,0.0388,4.66,0.691,3.4,0.19
Alternate Energy Technologies Morning Star MSC-40,2002002F ,Glazed Flat-Plate,0,0.0388,3.92,0.691,3.4,0.19
Alternate Energy Technologies Morning Star MSC-24,2002002B ,Glazed Flat-Plate,0,0.0388,2.28,0.691,3.4,0.19
Alternate Energy Technologies Morning Star MSC-26,2002002C ,Glazed Flat-Plate,0,0.0388,2.42,0.691,3.4,0.19
Alternate Energy Technologies Morning Star MSC-21,2002002A ,Glazed Flat-Plate,0,0.0388,2,0.691,3.4,0.19
Alternate Energy Technologies Morning Star MSC-32,2002002E ,Glazed Flat-Plate,0,0.0388,3.03,0.691,3.4,0.19
Alternate Energy Technologies Morning Star MSC-28,2002002D ,Glazed Flat-Plate,0,0.0388,2.66,0.691,3.4,0.19
Alternate Energy Technologies Starfire ST-21E,1999002A ,Glazed Flat-Plate,0,0.0385,1.97,0.665,4.72,0.05
Alternate Energy Technologies Starfire ST-40E,1999002B ,Glazed Flat-Plate,0,0.0385,3.58,0.665,4.72,0.05
Alternate Energy Technologies American Energy AE-21E,1999001A ,Glazed Flat-Plate,0,0.0385,1.93,0.638,4.26,-0.02
Alternate Energy Technologies American Energy AE-24E,1999001B ,Glazed Flat-Plate,0,0.0385,2.21,0.638,4.26,-0.02
Alternate Energy Technologies American Energy AE-40E,1999001C ,Glazed Flat-Plate,0,0.0385,3.7,0.638,4.26,-0.02
Alternate Energy Technologies Morning Star MSC-21E,1999001D ,Glazed Flat-Plate,0,0.0385,2,0.638,4.26,-0.02
Alternate Energy Technologies Morning Star MSC-28E,1999001G ,Glazed Flat-Plate,0,0.0385,2.65,0.638,4.26,-0.02
Alternate Energy Technologies American Energy AE-26E,1999001H ,Glazed Flat-Plate,0,0.0385,2.36,0.638,4.26,-0.02
Alternate Energy Technologies American Energy AE-32E,1999001I ,Glazed Flat-Plate,0,0.0385,2.97,0.638,4.26,-0.02
Alternate Energy Technologies Morning Star MSC-26E,1999001J ,Glazed Flat-Plate,0,0.0385,2.41,0.638,4.26,-0.02
Alternate Energy Technologies Morning Star MSC-32E,1999001K ,Glazed Flat-Plate,0,0.0385,3.02,0.638,4.26,-0.02
Alternate Energy Technologies Morning Star MSC-40E,1999001L ,Glazed Flat-Plate,0,0.0385,3.76,0.638,4.26,-0.02
Alternate Energy Technologies Morning Star MSC-24E,1999001E ,Glazed Flat-Plate,0,0.0385,2.27,0.638,4.26,-0.02
Alternate Energy Technologies American Energy AE-28E,1999001F ,Glazed Flat-Plate,0,0.0385,2.6,0.638,4.26,-0.02
American Solar Works Holdings ASW -58A-25,2007028C ,Tubular,0,0.071,4,0.477,0.94,-0.96
American Solar Works Holdings ASW -58A-30,2007028B ,Tubular,0,0.071,4.81,0.477,0.94,-0.96
American Solar Works Holdings ASW -58A,2007028A ,Tubular,0,0.071,3.52,0.477,0.94,-0.96
American Solar Works Holdings American Solar Works ASW52B,2006009A ,Tubular,0,0.057,2.86,0.474,0.89,-0.75
American Solar Works Holdings American Solar Works ASW52B Stretch,2006009B ,Tubular,0,0.057,3.9,0.474,0.89,-0.75
Apricus Inc. Apricus AP-20,2007033B ,Tubular,0,0.083,2.96,0.456,1.35,-1.31
Apricus Inc. Apricus AP-30C,2007033D ,Tubular,0,0.083,4.16,0.456,1.35,-1.31
Apricus Inc. Apricus AP-30,2007033A ,Tubular,0,0.083,4.16,0.456,1.35,-1.31
Apricus Inc. Apricus AP-10,2007033C ,Tubular,0,0.083,1.34,0.456,1.35,-1.31
Baymak Group BAYMAK Advanced XL,2010057A ,Glazed Flat-Plate,1,0.0472,2.51,0.708,3.73,0.13
Beijing Sunda Solar Energy Technology Co Ltd SUNDA SEIDO 2-8,2007025A ,Tubular,0,0.041,2.03,0.623,1.23,-0.27
Beijing Sunda Solar Energy Technology Co Ltd SUNDA SEIDO 2-16,2007025B ,Tubular,0,0.041,4.1,0.623,1.23,-0.27
Beijing Sunda Solar Energy Technology Co Ltd SUNDA SEIDO 1-16,2004001B ,Tubular,0,0.036,3.99,0.526,1.33,-0.3
Beijing Sunda Solar Energy Technology Co Ltd SUNDA SEIDO 1-8,2004001A ,Tubular,0,0.036,2,0.526,1.33,-0.3
Beijing Sunda Solar Energy Technology Co Ltd SUNDA SEIDO 5-16 AS AB,2006026B ,Tubular,0,0.041,4.1,0.489,1.59,-0.95
Beijing Sunda Solar Energy Technology Co Ltd SUNDA SEIDO 5-8 AS AB,2006026A ,Tubular,0,0.041,2.03,0.489,1.59,-0.95
Beijing Sunda Solar Energy Technology Co Ltd SUNDA SEIDO 10-20AS AB,2006010B ,Tubular,0,0.034,3.39,0.46,1.29,-0.12
Beijing Sunda Solar Energy Technology Co Ltd SUNDA SEIDO 10-10AS AB,2006010A ,Tubular,0,0.034,1.68,0.46,1.29,-0.12
Bosch Thermotechnology Corp. Bosch Bosch FKT-1W,2008056B ,Glazed Flat-Plate,0,0.048,2.41,0.739,3.44,0.1
Bosch Thermotechnology Corp. Bosch Bosch FKT-1 s+w (Vert. & Horiz.),2008056A ,Glazed Flat-Plate,0,0.048,2.41,0.739,3.44,0.1
Bosch Thermotechnology Corp. Buderus Buderus SKN 3.0-s+w (Vert. & Horiz.),2007005A ,Glazed Flat-Plate,0,0.048,2.41,0.72,4.02,0.02
Bosch Thermotechnology Corp. Bosch Bosch FKC-1 s+w (Vert. & Horiz.),2007043A ,Glazed Flat-Plate,0,0.048,2.41,0.72,4.02,0.02
Bosch Thermotechnology Corp. Buderus Buderus SKS 4.0-s+w (Vert. & Horiz.),2007006A ,Glazed Flat-Plate,0,0.048,2.41,0.709,3.26,0.01
Bosch Thermotechnology Corp. Bosch Bosch FKB-1 (Vert.),2007041A ,Glazed Flat-Plate,0,0.048,2.4,0.694,3.13,0.06
Bosch Thermotechnology Corp. Bosch FCC-1S,2010040A ,Glazed Flat-Plate,0,0.0428,2.08,0.686,3.86,0.03
BTF  Ltd. Solar Patriot SP-20,2004013A ,Tubular,0,0.055,3.08,0.342,0.85,-1.18
Bubbling Springs Solar  Inc. Main Stream MS 40,2006048C ,Glazed Flat-Plate,0,0.0584,3.71,0.705,4.32,0.34
Bubbling Springs Solar  Inc. Main Stream MS 32,2006048B ,Glazed Flat-Plate,0,0.0584,2.98,0.702,4.32,0.34
Bubbling Springs Solar  Inc. Main Stream MS 29,2006048A ,Glazed Flat-Plate,0,0.0584,2.92,0.701,4.31,0.34
Caleffi Solar SolarFlat NAS10408,2008033B ,Glazed Flat-Plate,0,0.0388,2.96,0.691,3.4,0.19
Caleffi Solar SolarFlat NAS10410,2008033C ,Glazed Flat-Plate,0,0.0388,3.7,0.691,3.4,0.19
Caleffi Solar SolarFlat NAS10406,2008033A ,Glazed Flat-Plate,0,0.0388,2.35,0.691,3.4,0.19
Changzhou Erjin Solar Energy Equipment Making Co. ERJIN SC58-1.8-20,2009034B ,Tubular,0,0.0325,3.49,0.302,1.25,-1.44
Changzhou Erjin Solar Energy Equipment Making Co. ERJIN SC58-1.8-10,2009034A ,Tubular,0,0.0325,1.62,0.302,1.25,-1.44
Changzhou Erjin Solar Energy Equipment Making Co. ERJIN SC58-1.8-30,2009034C ,Tubular,0,0.0325,5.21,0.302,1.25,-1.44
Changzhou HE Jia Solar Energy Co.  Ltd. HEJIASUN HCA-58-18,2009003B ,Tubular,0,0.0555,2.47,0.406,1.38,-1.37
Changzhou HE Jia Solar Energy Co.  Ltd. HEJIASUN HCA-58-20,2009003A ,Tubular,0,0.0555,2.75,0.406,1.38,-1.37
Changzhou HE Jia Solar Energy Co.  Ltd. HEJIASUN HCA-58-24,2009003C ,Tubular,0,0.0555,3.3,0.406,1.38,-1.37
Changzhou HE Jia Solar Energy Co.  Ltd. HEJIASUN HCA-58-30,2009003D ,Tubular,0,0.0555,4.14,0.406,1.38,-1.37
Chromagen Chromagen CR-130-A-SP,2009059D ,Glazed Flat-Plate,0,0.042,2.96,0.736,3.54,0.22
Chromagen Chromagen CR-140-A-P,2009061E ,Glazed Flat-Plate,0,0.042,3.71,0.736,3.88,0.3
Chromagen Chromagen CR-120-A-SP,2009059C ,Glazed Flat-Plate,0,0.042,2.8,0.735,3.53,0.22
Chromagen Chromagen CR-120-A-P,2009061C ,Glazed Flat-Plate,0,0.042,2.8,0.731,3.87,0.3
