Name,Vac,Pso,Paco,Pdco,Vdco,C0,C2,C1,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high
Units,V,W,W,W,V,1/W,1/V,1/V,1/V,W,V,A,V,V
[0],inv_snl_ac_voltage,inv_snl_pso,inv_snl_paco,inv_snl_pdco,inv_snl_vdco,inv_snl_c0,inv_snl_c2,inv_snl_c1,inv_snl_c3,inv_snl_pnt,inv_snl_vdcmax,inv_snl_idcmax,inv_snl_mppt_low,inv_snl_mppt_hi
ABB: MICRO-0.25-I-OUTD-US-208 [208V] 208V [CEC 2018],208,2.08961,250,259.589,40,-4.12E-05,0.000494304,-9.07E-05,-0.0131709,0.02,50,6.48971,30,50
ABB: MICRO-0.25-I-OUTD-US-208 208V [CEC 2014],208,1.771614224,250,259.5220505,40.24260317,-2.48E-05,6.69E-04,-9.01E-05,-1.89E-02,0.02,65,10,20,50
ABB: MICRO-0.25-I-OUTD-US-240 [240V] 240V [CEC 2018],240,2.24041,250,259.492,40,-3.92E-05,0.00241784,-0.000132459,-0.0149263,0.05,50,6.4873,30,50
ABB: MICRO-0.25-I-OUTD-US-240 240V [CEC 2014],240,1.931193651,250,259.5526973,39.98224603,-2.67E-05,1.48E-03,-1.58E-04,-3.46E-02,0.05,65,10,20,50
ABB: MICRO-0.3HV-I-OUTD-US-208 [208V] 208V [CEC 2018],208,1.7621,300,312.423,45,-4.46E-05,0.00220774,-0.00019792,-0.0236806,0.06,60,6.94274,30,60
ABB: MICRO-0.3HV-I-OUTD-US-208 208V [CEC 2014],208,1.882620398,300,312.5233471,45.25942857,-4.88E-05,9.75E-04,-2.41E-04,-2.76E-02,0.06,79,10.5,30,75
ABB: MICRO-0.3HV-I-OUTD-US-240 [240V] 240V [CEC 2018],240,1.84213,300,312.002,45,-3.45E-05,-0.000220339,-0.000229976,-0.041034,0.06,60,6.93339,30,60
ABB: MICRO-0.3HV-I-OUTD-US-240 240V [CEC 2014],240,1.928591375,300,312.0220587,45.49500926,-3.54E-05,-2.24E-04,-2.28E-04,-3.96E-02,0.06,79,10.5,30,75
ABB: MICRO-0.3-I-OUTD-US-208 [208V] 208V [CEC 2018],208,1.84651,300,311.669,40,-3.32E-05,0.000907295,-0.000191995,-0.0317417,0.02,50,7.79173,30,50
ABB: MICRO-0.3-I-OUTD-US-208 208V [CEC 2014],208,1.971053331,300,311.7145541,40.22711111,-3.57E-05,-8.33E-04,-2.56E-04,-3.91E-02,0.02,65,10,30,50
ABB: MICRO-0.3-I-OUTD-US-240 [240V] 240V [CEC 2018],240,1.95054,300,311.581,40,-3.38E-05,0.00245327,-0.000256139,-0.0282233,0.05,50,7.78952,30,50
ABB: MICRO-0.3-I-OUTD-US-240 240V [CEC 2014],240,1.991341525,300,311.5049608,40.13609524,-3.06E-05,-2.11E-03,-2.89E-04,-4.95E-02,0.05,65,10,30,50
ABB: PVI 3.0 OUTD-S-US-Z-M-A (208 V) 208V [CEC 2014],208,18.10412194,3000,3147.009528,313.4292857,-8.65E-06,1.62E-03,-1.21E-05,-2.17E-04,0.1,600,20,160,530
ABB: PVI 3.0 OUTD-S-US-Z-M-A (208V) 208V [CEC 2016],208,18.1663,3000,3142.3,310,-8.04E-06,0.00099853,-1.10E-05,-0.000287236,0.1,480,0.00625,100,480
ABB: PVI 3.0 OUTD-S-US-Z-M-A (240 V) 240V [CEC 2014],240,19.86611212,3000,3125.758222,340.8429365,-6.66E-06,1.05E-03,-2.55E-05,-4.71E-04,0.1,600,20,160,530
ABB: PVI 3.0 OUTD-S-US-Z-M-A (240V) 240V [CEC 2016],240,16.8808,3000,3121.67,340,-5.70E-06,0.000582316,-2.12E-05,-0.000712325,0.1,480,0.00625,100,480
ABB: PVI 3.0 OUTD-S-US-Z-M-A (277 V) 277V [CEC 2014],277,22.72013483,3000,3110.342942,389.9862698,-5.68E-06,3.64E-05,-4.44E-05,-1.55E-03,0.2,600,20,160,530
