Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,,,,,
TMY3,724723,Blanding,UT,USA,37.617,-109.483,-7,1841,,,,,
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
2005,1,1,0,0,0,0,1.1,-1.7,80,809,2.9,130,0.33
2005,1,1,1,0,0,0,0.6,-2.1,80,809,2.9,110,0.33
2005,1,1,2,0,0,0,0.2,-2.5,80,809,2.8,80,0.33
2005,1,1,3,0,0,0,-0.3,-2.8,81,809,2.7,60,0.33
2005,1,1,4,0,0,0,1,-2,79,809,2.6,30,0.33
2005,1,1,5,0,0,0,0.7,-1.8,82,810,2.9,60,0.33
2005,1,1,6,0,0,0,0.3,-1.6,86,811,3.1,90,0.33
2005,1,1,7,0,0,0,0.6,-2.3,79,812,3.4,120,0.33
2005,1,1,8,82,244,46,3,-1.6,71,813,3.6,140,0.33
2005,1,1,9,282,651,89,5.5,-1,62,814,3.9,170,0.33
2005,1,1,10,361,640,100,5,-1,64,815,4.1,200,0.33
2005,1,1,11,484,737,135,5.8,-1.4,59,815,3.8,200,0.33
2005,1,1,12,259,217,152,6.6,-1.9,54,815,3.4,190,0.33
2005,1,1,13,485,677,173,6,-2,55,815,3.1,190,0.33
2005,1,1,14,134,0,134,5,-1.7,61,815,2.9,180,0.33
2005,1,1,15,238,469,116,3.9,-1.4,67,815,2.8,160,0.33
2005,1,1,16,0,0,0,4,-2,64,814,2.6,150,0.33
2005,1,1,17,0,0,0,2,-2.2,72,814,2.6,140,0.33
2005,1,1,18,0,0,0,-0.1,-2.5,82,814,2.5,140,0.33
2005,1,1,19,0,0,0,0.5,-2.7,77,814,2.5,130,0.33
2005,1,1,20,0,0,0,0.7,-2,81,814,2.4,120,0.33
2005,1,1,21,0,0,0,0.8,-1.2,85,814,2.4,110,0.33
2005,1,1,22,0,0,0,0.2,-3.6,73,814,2.4,110,0.33
2005,1,1,23,0,0,0,0.2,-3.5,74,814,2.3,100,0.33
2005,1,2,0,0,0,0,0.1,-3.4,75,814,2.3,90,0.33
2005,1,2,1,0,0,0,0.1,-3.3,75,813,2.2,80,0.33
2005,1,2,2,0,0,0,0.1,-3.2,76,813,2.2,80,0.33
2005,1,2,3,0,0,0,0,-3.1,77,813,2.1,70,0.33
2005,1,2,4,0,0,0,0,-4,72,813,2.1,60,0.33
2005,1,2,5,0,0,0,-0.2,-3.7,75,813,1.9,50,0.33
2005,1,2,6,0,0,0,-0.4,-3.4,78,814,1.7,50,0.33
2005,1,2,7,0,0,0,0,-4,72,814,1.5,40,0.33
2005,1,2,8,51,38,45,1.7,-3.8,64,814,1.9,60,0.33
2005,1,2,9,190,239,119,3.3,-3.5,59,815,2.2,80,0.33
2005,1,2,10,324,442,143,2,-4,62,815,2.6,100,0.33
2005,1,2,11,288,143,220,3.1,-3.8,58,815,2.2,100,0.33
2005,1,2,12,252,54,226,4.3,-3.5,55,814,1.9,110,0.33
2005,1,2,13,173,6,170,4,-3,59,814,1.5,110,0.33
2005,1,2,14,268,287,158,3.3,-2.4,65,814,1.7,90,0.33
2005,1,2,15,148,120,116,2.6,-1.7,72,814,1.9,80,0.33
2005,1,2,16,0,0,0,3,-2,68,814,2.1,60,0.33
2005,1,2,17,0,0,0,2.1,-1.7,75,814,2.1,80,0.33
2005,1,2,18,0,0,0,1.2,-1.4,82,814,2.1,110,0.33
2005,1,2,19,0,0,0,3,-1,74,815,2.1,130,0.33
2005,1,2,20,0,0,0,2.9,0.7,85,815,2.4,120,0.33
