Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,725566,O`neill Baker Field,NE,USA,42.467000,-98.683000,-6,619
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Twet,RH,Pres,Wspd,Wdir,Albedo
1996,1,1,0,0,0,0,-2.8,-3.9,91,941,4.1,310,0.31
1996,1,1,1,0,0,0,-2.8,-3.9,91,941,4.6,300,0.31
1996,1,1,2,0,0,0,-2.8,-4.5,87,941,5.6,310,0.31
1996,1,1,3,0,0,0,-2.8,-4.5,87,941,5.6,310,0.31
1996,1,1,4,0,0,0,-2.8,-3.9,91,941,3.6,310,0.31
1996,1,1,5,0,0,0,-2.8,-3.9,91,941,3.6,320,0.31
1996,1,1,6,0,0,0,-2.8,-3.9,91,941,7.2,320,0.31
1996,1,1,7,0,0,0,-3.4,-5,87,941,5.1,310,0.31
1996,1,1,8,33,103,26,-3.4,-5,87,941,4.6,320,0.31
1996,1,1,9,62,0,62,-2.3,-4.5,83,941,8.2,330,0.31
1996,1,1,10,85,0,85,-2.3,-3.9,87,941,7.2,320,0.31
1996,1,1,11,129,0,129,-2.3,-4.5,83,941,7.7,320,0.31
1996,1,1,12,140,0,140,-2.3,-5,80,941,8.7,320,0.31
1996,1,1,13,220,74,190,-2.3,-5.6,76,941,9.7,320,0.31
1996,1,1,14,53,0,52,-2.8,-6.7,72,941,10.8,330,0.31
1996,1,1,15,200,680,41,-3.4,-8.9,62,941,9.7,330,0.31
1996,1,1,16,53,39,49,-3.9,-9.5,62,941,8.2,330,0.31
1996,1,1,17,0,5,0,-4.5,-9.5,65,941,5.6,330,0.31
1996,1,1,18,0,0,0,-5.6,-9.5,71,941,8.7,340,0.31
1996,1,1,19,0,0,0,-7.3,-11.2,71,941,8.7,320,0.31
1996,1,1,20,0,0,0,-7.3,-11.2,71,941,7.7,330,0.31
1996,1,1,21,0,0,0,-7.8,-10.6,78,941,7.2,320,0.31
1996,1,1,22,0,0,0,-7.8,-10.6,78,941,7.2,330,0.31
1996,1,1,23,0,0,0,-7.8,-10.6,78,941,8.2,330,0.31
1996,1,2,0,0,0,0,-7.9,-10.2,82,941,8.7,330,0.31
1996,1,2,1,0,0,0,-7.3,-9.5,82,941,9.2,320,0.31
1996,1,2,2,0,0,0,-7.3,-9.5,82,941,9.2,330,0.31
1996,1,2,3,0,0,0,-7.3,-8.9,87,941,8.7,320,0.31
1996,1,2,4,0,0,0,-6.7,-8.4,86,941,7.7,330,0.31
1996,1,2,5,0,0,0,-6.7,-8.9,83,941,9.2,340,0.31
1996,1,2,6,0,0,0,-7.1,-9.3,82,941,9,340,0.31
1996,1,2,7,0,0,0,-7.3,-9.5,82,941,8.7,340,0.31
1996,1,2,8,11,0,11,-7.8,-10,82,941,8.2,330,0.31
1996,1,2,9,51,0,51,-7.3,-10,79,941,8.2,330,0.31
1996,1,2,10,84,0,84,-7.3,-10,79,941,6.1,350,0.31
1996,1,2,11,189,76,160,-7.3,-10.6,75,941,7.7,340,0.31
1996,1,2,12,140,16,134,-7.3,-10.6,75,941,6.6,340,0.31
1996,1,2,13,111,0,111,-7.3,-10,79,941,6.1,330,0.31
1996,1,2,14,92,0,92,-7.8,-10.6,78,941,5.6,330,0.31
1996,1,2,15,61,0,61,-7.8,-10,82,941,4.6,330,0.31
1996,1,2,16,22,0,22,-7.8,-10.6,78,941,5.1,330,0.31
1996,1,2,17,0,0,0,-7.8,-10.6,78,941,4.1,330,0.31
1996,1,2,18,0,0,0,-8.9,-10.6,86,941,1.5,20,0.31
1996,1,2,19,0,0,0,-10.6,-11.7,91,941,0,0,0.31
1996,1,2,20,0,0,0,-11.2,-12.3,91,941,0,0,0.31
1996,1,2,21,0,0,0,-10.6,-11.7,91,941,1.5,100,0.31
1996,1,2,22,0,0,0,-10,-11.7,86,941,1.5,160,0.31
1996,1,2,23,0,0,0,-10,-11.2,90,941,0,0,0.31
1996,1,3,0,0,0,0,-9.5,-11.2,86,941,3.6,160,0.31
1996,1,3,1,0,0,0,-9.5,-11.2,86,941,4.1,160,0.31
1996,1,3,2,0,0,0,-8.9,-10.6,86,941,4.1,160,0.31
1996,1,3,3,0,0,0,-8.9,-10.6,86,941,4.6,150,0.31
1996,1,3,4,0,0,0,-8.9,-11.2,82,941,6.6,180,0.31
1996,1,3,5,0,0,0,-8.9,-10.6,86,941,6.1,170,0.31
1996,1,3,6,0,0,0,-8.4,-10.6,82,941,6.1,160,0.31
1996,1,3,7,0,0,0,-8.4,-10.6,82,941,9.7,160,0.31
1996,1,3,8,24,81,19,-7.8,-10,82,941,9.2,160,0.31
1996,1,3,9,151,458,60,-7.3,-10,79,941,8.7,160,0.31
1996,1,3,10,235,408,108,-6.2,-10,72,941,8.7,170,0.31
1996,1,3,11,221,205,142,-4.5,-8.9,68,941,12.3,170,0.31
1996,1,3,12,129,0,129,-3.4,-8.4,65,941,7.7,170,0.31
1996,1,3,13,367,613,121,-3.9,-6.7,79,941,8.2,170,0.31
1996,1,3,14,232,57,212,-3.9,-6.2,82,941,6.6,150,0.31
1996,1,3,15,122,59,108,-3.9,-6.2,82,941,6.6,150,0.31
1996,1,3,16,63,169,46,-3.9,-5.6,86,941,7.2,160,0.31
1996,1,3,17,0,1,0,-3.4,-5.6,83,941,5.1,150,0.31
1996,1,3,18,0,0,0,-3.4,-5,87,941,4.1,150,0.31
1996,1,3,19,0,0,0,-3.9,-5,91,941,2.5,90,0.31
1996,1,3,20,0,0,0,-3.9,-5.6,86,941,3.6,80,0.31
1996,1,3,21,0,0,0,-3.9,-5.6,86,941,3,60,0.31
1996,1,3,22,0,0,0,-4.8,-6.7,85,941,4.3,50,0.31
1996,1,3,23,0,0,0,-5,-7.3,82,941,5.6,40,0.31
