Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,71503,-,-,India,27.35,88.65,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Pressure,Temperature,Wind Direction,Wind Speed
2003,1,1,0,30,-12.0,0,0,0,684,-3.1362479668455308,305,1
2003,1,1,1,30,-12.0,0,0,0,684,-3.862387570637452,300,1
2003,1,1,2,30,-13.0,0,0,0,683,-4.469845052970641,294,1
2003,1,1,3,30,-14.0,0,0,0,683,-4.948124275155749,291,1
2003,1,1,4,30,-14.0,0,0,0,683,-5.309625738542877,292,1
2004,1,1,5,30,-15.0,0,0,0,684,-5.533141995099868,294,1
2004,1,1,6,30,-14.0,0,0,0,684,-3.2046553282642662,296,1
2004,1,1,7,30,-12.0,83,426,170,684,1.7473511690178611,296,1
2004,1,1,8,30,-12.0,114,674,368,685,4.845045715009746,280,1
2004,1,1,9,30,-11.0,133,781,533,685,6.863162161557682,258,1
2004,1,1,10,30,-10.0,142,833,643,684,7.4678474336519685,247,1
2004,1,1,11,30,-9.0,231,717,688,684,7.510394279522984,243,1
2004,1,1,12,30,-8.0,309,198,432,683,7.065422551289657,243,1
2004,1,1,13,30,-7.0,281,175,377,683,6.188782789626032,246,1
2004,1,1,14,30,-7.0,184,397,351,683,4.760317702758641,250,1
2004,1,1,15,30,-6.0,118,370,213,683,2.0581616042128417,257,0
2004,1,1,16,30,-6.0,8,0,8,683,-1.9034473058944172,285,0
