date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-01-01 01:00:00,-13.3,80.95,0.0,42.8,0.0,0.0,0.0
2018-01-01 02:00:00,-12.1,81.85,1.5,125.0,0.0,0.0,0.0
2018-01-01 03:00:00,-12.8,90.47,0.0,232.33,0.0,0.0,0.0
2018-01-01 04:00:00,-13.9,90.39,2.6,180.0,0.0,0.0,0.0
2018-01-01 05:00:00,-13.3,90.43,3.6,160.0,0.0,0.0,0.0
2018-01-01 06:00:00,-12.8,81.77,3.1,170.0,0.0,0.0,0.0
2018-01-01 07:00:00,-12.2,81.85,1.5,150.0,0.0,0.0,0.0
2018-01-01 08:00:00,-10.0,77.78,0.0,50.6,6.5,62.0,5.5
2018-01-01 09:00:00,-7.8,78.11,0.0,198.0,84.5,277.5,42.5
2018-01-01 10:00:00,-3.3,59.05,1.5,340.0,134.5,137.5,99.5
2018-01-01 11:00:00,-3.3,53.08,3.1,320.0,315.5,508.0,118.0
2018-01-01 12:00:00,-3.9,53.41,2.1,350.0,418.5,691.0,111.0
2018-01-01 13:00:00,-1.1,44.15,3.1,10.0,505.0,983.5,53.0
2018-01-01 14:00:00,0.0,42.53,1.5,350.0,460.5,960.0,51.5
2018-01-01 15:00:00,1.7,39.67,0.0,114.0,318.0,674.5,78.5
2018-01-01 16:00:00,1.7,41.46,2.1,340.0,164.5,410.5,71.0
2018-01-01 17:00:00,-1.7,51.63,6.2,360.0,46.5,211.5,26.5
2018-01-01 18:00:00,-6.1,71.1,2.6,20.0,0.0,0.0,0.0
2018-01-01 19:00:00,-7.5,74.13,1.8,40.0,0.0,0.0,0.0
2018-01-01 20:00:00,-8.9,82.26,0.0,62.5,0.0,0.0,0.0
2018-01-01 21:00:00,-10.0,82.12,0.0,274.75,0.0,0.0,0.0
2018-01-01 22:00:00,-10.0,77.78,0.0,226.5,0.0,0.0,0.0
2018-01-01 23:00:00,-10.0,82.12,0.0,205.6,0.0,0.0,0.0
2018-01-02 00:00:00,-10.6,82.05,2.1,200.0,0.0,0.0,0.0
2018-01-02 01:00:00,-10.0,77.78,2.1,360.0,0.0,0.0,0.0
2018-01-02 02:00:00,-10.0,85.91,0.0,274.33,0.0,0.0,0.0
2018-01-02 03:00:00,-12.2,90.51,1.5,240.0,0.0,0.0,0.0
2018-01-02 04:00:00,-9.4,81.46,0.0,242.0,0.0,0.0,0.0
2018-01-02 05:00:00,-10.6,86.63,2.1,260.0,0.0,0.0,0.0
2018-01-02 06:00:00,-10.6,78.4,2.1,240.0,0.0,0.0,0.0
2018-01-02 07:00:00,-11.1,77.62,3.1,230.0,0.0,0.0,0.0
2018-01-02 08:00:00,-10.6,70.9,2.1,190.0,6.0,53.5,5.0
2018-01-02 09:00:00,-5.6,68.1,1.5,170.0,125.0,634.0,30.5
2018-01-02 10:00:00,-2.8,36.08,3.6,220.0,296.5,923.0,38.5
2018-01-02 11:00:00,0.0,28.58,4.1,210.0,428.0,1004.0,43.0
2018-01-02 12:00:00,2.2,23.08,3.1,190.0,507.5,1040.0,44.0
2018-01-02 13:00:00,4.4,17.84,3.1,130.0,527.0,1047.0,45.0
2018-01-02 14:00:00,6.1,14.3,1.5,70.0,484.5,1030.5,43.5
2018-01-02 15:00:00,6.7,9.46,4.6,10.0,384.0,983.0,40.5
2018-01-02 16:00:00,5.0,11.84,3.6,60.0,236.0,876.5,33.5
2018-01-02 17:00:00,1.1,17.33,2.6,110.0,71.0,537.5,22.0
2018-01-02 18:00:00,-1.1,21.76,1.5,160.0,0.0,0.0,0.0
2018-01-02 19:00:00,-2.2,21.48,3.1,160.0,0.0,0.0,0.0
2018-01-02 20:00:00,-3.3,24.71,2.6,180.0,0.0,0.0,0.0
2018-01-02 21:00:00,-4.4,25.87,3.6,170.0,0.0,0.0,0.0
2018-01-02 22:00:00,-3.9,27.52,3.1,180.0,0.0,0.0,0.0
2018-01-02 23:00:00,-5.6,31.82,3.6,180.0,0.0,0.0,0.0
2018-01-03 00:00:00,-6.1,31.38,1.5,140.0,0.0,0.0,0.0
2018-01-03 01:00:00,-6.1,31.38,3.1,180.0,0.0,0.0,0.0
2018-01-03 02:00:00,-5.6,31.82,3.6,170.0,0.0,0.0,0.0
2018-01-03 03:00:00,-8.3,37.99,3.1,170.0,0.0,0.0,0.0
2018-01-03 04:00:00,-5.6,27.06,2.1,160.0,0.0,0.0,0.0
2018-01-03 05:00:00,-5.6,25.54,3.1,160.0,0.0,0.0,0.0
2018-01-03 06:00:00,-7.2,31.07,1.5,170.0,0.0,0.0,0.0
2018-01-03 07:00:00,-2.8,20.14,4.1,180.0,0.0,0.0,0.0
2018-01-03 08:00:00,-1.7,19.45,4.1,180.0,4.0,6.0,4.0
2018-01-03 09:00:00,2.8,19.98,4.6,170.0,93.0,307.5,43.0
2018-01-03 10:00:00,6.7,18.63,5.1,150.0,285.5,884.5,38.0
2018-01-03 11:00:00,8.9,16.94,6.2,170.0,415.0,963.5,44.5
2018-01-03 12:00:00,10.0,14.22,5.7,170.0,492.5,985.5,52.5
2018-01-03 13:00:00,10.6,11.68,3.6,160.0,502.0,944.5,65.5
2018-01-03 14:00:00,11.7,9.79,4.1,130.0,394.5,683.5,97.0
2018-01-03 15:00:00,12.2,8.96,3.1,170.0,220.0,319.0,106.5
2018-01-03 16:00:00,11.1,10.19,2.1,150.0,207.0,690.0,49.5
2018-01-03 17:00:00,6.1,14.99,2.1,225.33,48.5,210.0,26.0
2018-01-03 18:00:00,4.4,26.69,2.6,270.0,0.0,0.0,0.0
2018-01-03 19:00:00,2.2,31.18,2.1,230.0,0.0,0.0,0.0
2018-01-03 20:00:00,0.0,36.53,0.0,283.67,0.0,0.0,0.0
2018-01-03 21:00:00,-0.6,38.39,1.5,280.0,0.0,0.0,0.0
2018-01-03 22:00:00,-0.6,38.39,1.5,230.0,0.0,0.0,0.0
2018-01-03 23:00:00,-2.2,41.92,0.0,263.83,0.0,0.0,0.0
2018-01-04 00:00:00,-1.7,46.41,2.6,250.0,0.0,0.0,0.0
2018-01-04 01:00:00,-1.1,42.22,3.1,260.0,0.0,0.0,0.0
2018-01-04 02:00:00,-0.6,36.7,1.5,230.0,0.0,0.0,0.0
2018-01-04 03:00:00,-1.1,40.01,2.1,210.0,0.0,0.0,0.0
2018-01-04 04:00:00,-5.6,55.93,1.5,150.0,0.0,0.0,0.0
2018-01-04 05:00:00,-6.7,58.24,2.1,170.0,0.0,0.0,0.0
2018-01-04 06:00:00,-7.2,55.02,1.5,144.83,0.0,0.0,0.0
