climate.location,file_name
swh.scaled_draw,scaled_draw
swh.tilt,tilt
swh.azimuth,azimuth
swh.albedo,albedo
swh.irrad_mode,irrad_mode
swh.sky_model,sky_model
swh.mdot,mdot
swh.ncoll,ncoll
swh.fluid,fluid
swh.area_coll,area_coll
swh.FRta,FRta
swh.FRUL,FRUL
swh.b0,iam
swh.test_fluid,test_fluid
swh.test_flow,test_flow
swh.pipe_length,pipe_length
swh.pipe_diam,pipe_diam
swh.pipe_k,pipe_k
swh.pipe_insul,pipe_insul
swh.tank_h2d_ratio,tank_h2d_ratio
swh.U_tank,U_tank
swh.V_tank,V_tank
swh.hx_eff,hx_eff
swh.T_room,T_room
swh.T_tank_max,T_tank_max
swh.T_set,T_set
swh.pump_power,pump_power
swh.pump_eff,pump_eff
swh.use_custom_mains,use_custom_mains
swh.custom_mains,custom_mains
swh.use_custom_set,use_custom_set
swh.custom_set,custom_set
