climate.location,file_name
(null),albedo
pvwatts.dcrate,system_size
pvwatts.derate,derate
pvwatts.array_type,track_mode
pvwatts.azimuth,azimuth
pvwatts.tilt,tilt
pvwatts.tilt_eq_lat,tilt_eq_lat
(null),shading_hourly
(null),shading_mxh
(null),shading_azal
(null),shading_diff
pvwatts.use_poa,enable_user_poa
pvwatts.poa_input,user_poa
(null),rotlim
pvwatts.inoct,inoct
(null),tref
pvwatts.gamma,gamma
(null),inv_eff
(null),fd
(null),i_ref
(null),poa_cutin
(null),w_stow
(null),concen
(null),fhconv
(null),shade_mode_1x
(null),gcr
(null),ar_glass
