climate.location,file_name
nOt A sAmsIm vArIAblE,track_mode
nOt A sAmsIm vArIAblE,tilt
nOt A sAmsIm vArIAblE,azimuth
nOt A sAmsIm vArIAblE,weekday_schedule
nOt A sAmsIm vArIAblE,weekend_schedule
climate.latitude,latitude
climate.longitude,longitude
nOt A sAmsIm vArIAblE,timezone
csp.gss.sf.stow_angle,theta_stow
csp.gss.sf.deploy_angle,theta_dep
csp.gss.sf.interp_arr,interp_arr
nOt A sAmsIm vArIAblE,rad_type
csp.gss.sf.solar_multiple,solarm
csp.gss.sf.design_amb_temp,T_sfdes
csp.gss.sf.design_radiation,irr_des
csp.gss.sf.cleanliness,eta_opt_soil
csp.gss.sf.general_derate,eta_opt_gen
csp.gss.sf.ref_loss_frac,f_sfhl_ref
nOt A sAmsIm vArIAblE,sfhlQ_coefs
nOt A sAmsIm vArIAblE,sfhlT_coefs
nOt A sAmsIm vArIAblE,sfhlV_coefs
csp.gss.sf.design_output,qsf_des
csp.gss.pwrb.design_gross_output,w_des
csp.gss.pwrb.conv_eff,eta_des
csp.gss.pwrb.max_over_design,f_wmax
csp.gss.pwrb.min_load,f_wmin
csp.gss.pwrb.startup_energy,f_startup
csp.gss.pwrb.lhv_eff,eta_lhv
nOt A sAmsIm vArIAblE,etaQ_coefs
nOt A sAmsIm vArIAblE,etaT_coefs
csp.gss.pwrb.design_temp,T_pcdes
nOt A sAmsIm vArIAblE,PC_T_corr
csp.gss.pwrb.fixed_parasitic,f_Wpar_fixed
csp.gss.pwrb.prod_parasitic,f_Wpar_prod
nOt A sAmsIm vArIAblE,Wpar_prodQ_coefs
nOt A sAmsIm vArIAblE,Wpar_prodT_coefs
csp.gss.tes.ts_hours,hrs_tes
csp.gss.tes.charging_derate,f_charge
csp.gss.tes.discharging_derate,f_disch
csp.gss.tes.initial_frac,f_etes_0
csp.gss.tes.loss_multiplier,f_teshl_ref
nOt A sAmsIm vArIAblE,teshlX_coefs
nOt A sAmsIm vArIAblE,teshlT_coefs
nOt A sAmsIm vArIAblE,ntod
nOt A sAmsIm vArIAblE,disws
nOt A sAmsIm vArIAblE,diswos
nOt A sAmsIm vArIAblE,qdisp
nOt A sAmsIm vArIAblE,fdisp
nOt A sAmsIm vArIAblE,OpticalTable
nOt A sAmsIm vArIAblE,ibn
nOt A sAmsIm vArIAblE,ibh
nOt A sAmsIm vArIAblE,itoth
nOt A sAmsIm vArIAblE,tdb
nOt A sAmsIm vArIAblE,twb
nOt A sAmsIm vArIAblE,vwind
