climate.location,file_name
geotherm.resource_potential,resource_potential
geotherm.resource_type,resource_type
geotherm.resource_temp,resource_temp
geotherm.resource_depth,resource_depth
fin.analysis_period,analysis_period
geopowerblock.pwrb.model_choice,model_choice
geotherm.nameplate,nameplate
geotherm.analysis_type,analysis_type
geotherm.num_wells,num_wells
geotherm.number_of_wells_used,num_wells_getem
geotherm.conversion_type,conversion_type
geotherm.plant_efficiency_input,plant_efficiency_input
geotherm.conversion_subtype,conversion_subtype
geotherm.decline_type,decline_type
geotherm.temp_decline_rate,temp_decline_rate
geotherm.temp_decline_max,temp_decline_max
geotherm.wet_bulb_temp,wet_bulb_temp
geotherm.ambient_pressure,ambient_pressure
geotherm.well_flow_rate,well_flow_rate
geotherm.pump_efficiency,pump_efficiency
geotherm.delta_pressure_equip,delta_pressure_equip
geotherm.excess_pressure_pump,excess_pressure_pump
geotherm.well_diameter,well_diameter
geotherm.casing_size,casing_size
geotherm.inj_well_diam,inj_well_diam
geotherm.egs_design_temp,design_temp
geotherm.pump_work.specify,specify_pump_work
geotherm.pump_work.specified_amount,specified_pump_work_amount
geotherm.rock_thermal_conductivity,rock_thermal_conductivity
geotherm.rock_specific_heat,rock_specific_heat
geotherm.rock_density,rock_density
geotherm.reservoir_pressure_change_type,reservoir_pressure_change_type
geotherm.reservoir_pressure_change,reservoir_pressure_change
geotherm.reservoir_width,reservoir_width
geotherm.reservoir_height,reservoir_height
geotherm.reservoir_permeability,reservoir_permeability
geotherm.inj_prod_well_distance,inj_prod_well_distance
geotherm.subsurface_water_loss,subsurface_water_loss
geotherm.fracture_aperature,fracture_aperature
geotherm.fracture_width,fracture_width
geotherm.num_fractures,num_fractures
geotherm.fracture_angle,fracture_angle
geopowerblock.pwrb.tech_type,tech_type
geopowerblock.pwrb.design_outlet_temp,T_htf_cold_ref
geopowerblock.pwrb.design_inlet_temp,T_htf_hot_ref
geopowerblock.pwrb.heat_transfer_fluid_type,HTF
geopowerblock.pwrb.boiler_pressure,P_boil
geopowerblock.pwrb.rated_eff,eta_ref
geopowerblock.pwrb.standby_thermal_frac,q_sby_frac
geopowerblock.pwrb.startup_frac,startup_frac
geopowerblock.pwrb.startup_time,startup_time
geopowerblock.pwrb.blowdown_frac,pb_bd_frac
geopowerblock.pwrb.ambient_design_temp,T_amb_des
geopowerblock.pwrb.condenser_type_plus_1,CT
geopowerblock.pwrb.ref_condenser_dt,dT_cw_ref
geopowerblock.pwrb.approach_temp,T_approach
geopowerblock.pwrb.itd_design,T_ITD_des
geopowerblock.pwrb.condenser_pressure_ratio,P_cond_ratio
geopowerblock.pwrb.min_condenser_pressure,P_cond_min
geopowerblock.pwrb.hr_pl_nlev,hr_pl_nlev
geopowerblock.pwrb.hc_ctl1,hc_ctl1
geopowerblock.pwrb.hc_ctl2,hc_ctl2
geopowerblock.pwrb.hc_ctl3,hc_ctl3
geopowerblock.pwrb.hc_ctl4,hc_ctl4
geopowerblock.pwrb.hc_ctl5,hc_ctl5
geopowerblock.pwrb.hc_ctl6,hc_ctl6
geopowerblock.pwrb.hc_ctl7,hc_ctl7
geopowerblock.pwrb.hc_ctl8,hc_ctl8
geopowerblock.pwrb.hc_ctl9,hc_ctl9
geopowerblock.pwrb.hybrid_tou_schedule,hybrid_dispatch_schedule
