climate.location,weather_file
hcpv.module.cell_area,module_cell_area
hcpv.module.concentration,module_concentration
hcpv.module.optical_error,module_optical_error
hcpv.module.alignment_error,module_alignment_error
hcpv.module.flutter_loss_coeff,module_flutter_loss_coeff
hcpv.module.a0,module_a0
hcpv.module.a1,module_a1
hcpv.module.a2,module_a2
hcpv.module.a3,module_a3
hcpv.module.a4,module_a4
nOt A sAmsIm vArIAblE,module_mjeff
hcpv.module.ncells,module_ncells
nOt A sAmsIm vArIAblE,module_rad
hcpv.module.reference,module_reference
hcpv.module.a,module_a
hcpv.module.b,module_b
hcpv.module.dT,module_dT
hcpv.module.temp_coeff,module_temp_coeff
pv.inv.sandia.c0,inv_sandia_c0
pv.inv.sandia.c1,inv_sandia_c1
pv.inv.sandia.c2,inv_sandia_c2
pv.inv.sandia.c3,inv_sandia_c3
pv.inv.sandia.paco,inv_sandia_paco
pv.inv.sandia.pdco,inv_sandia_pdco
pv.inv.sandia.pnt,inv_sandia_pnt
pv.inv.sandia.pso,inv_sandia_pso
pv.inv.sandia.vdco,inv_sandia_vdco
pv.inv.sandia.vdcmax,inv_sandia_vdcmax
hcpv.array.modules_per_tracker,array_modules_per_tracker
hcpv.array.num_trackers,array_num_trackers
hcpv.array.num_inverters,array_num_inverters
hcpv.array.wind_stow_speed,array_wind_stow_speed
hcpv.array.tracker_power_fraction,array_tracker_power_fraction
hcpv.array.rlim_el_min,array_rlim_el_min
hcpv.array.rlim_el_max,array_rlim_el_max
hcpv.array.rlim_az_min,array_rlim_az_min
hcpv.array.rlim_az_max,array_rlim_az_max
hcpv.array.enable_azalt_sf,array_enable_azalt_sf
hcpv.array.azalt_sf,array_azalt_sf
nOt A sAmsIm vArIAblE,array_monthly_soiling
hcpv.array.dc_mismatch_loss,array_dc_mismatch_loss
hcpv.array.dc_wiring_loss,array_dc_wiring_loss
hcpv.array.diode_conn_loss,array_diode_conn_loss
hcpv.array.ac_wiring_loss,array_ac_wiring_loss
hcpv.array.tracking_error,array_tracking_error
nOt A sAmsIm vArIAblE,azaltsf
