Module Name,Performance Ratio,Simulation Message
GermanSolar USA Inc GSM10-144-585W,1.09676,ok
PT LESSO NEW ENERGY 530C(HWB)66(182),1.09275,ok
KOSOL ENERGIE PVT LTD KE-405-54XS,1.08327,ok
Sonali Energees USA LLC SS-405-54IIMJ,1.08327,ok
Arka Energy Inc AEP-821-00020-A,1.07353,ok
Caterpillar Inc PVC360MP03HA,1.05015,ok
LONGi Green Energy Technology Co Ltd LR4-60HPB-360M,1.05015,ok
Mission Solar Energy LLC TXI10-395108BB,0.986652,ok
Jinko Solar Co Ltd JKMS300M-60B-MX,0.954856,ok
Jinko Solar Co Ltd JKMS280M-60-MX,0.952274,ok
Jinko Solar Co Ltd JKMS280M-60B-MX,0.950773,ok
Jinko Solar Co Ltd JKMS285M-60B-MX,0.939601,ok
Hengdian Group DMEGC Magnetics Co Ltd DM620G12RT-B66yyy,0.910702,ok
Aptos Solar Technology LLC DNA-108-MF10-390W,0.889193,ok
CertainTeed CTM10390HC11-06,0.889193,ok
Mission Solar Energy LLC TXI10-390108BB,0.889193,ok
PT IDN SOLAR TECH NUSA108-390MB,0.889193,ok
PT IDN SOLAR TECH NUSA108H-390M,0.889193,ok
PT IDN SOLAR TECH NUSA108H-390MB,0.889193,ok
TOPCO SOLAR INC TP108H-390MB,0.889193,ok
JOLYWOOD (TAIZHOU) SOLAR TECHNOLOGY CO LTD JW-HD144N-R0-595,0.887305,ok
Mission Solar Energy LLC MSE405HT0B,0.887286,ok
Boviet Solar Technology Co Ltd BVM7612M-525-H-HC-BF,0.886347,ok
Global Power Services LLC GP390-54-182PMBB,0.886281,ok
Global Power Services LLC GP390-54-182PMWB,0.886281,ok
Sonali Energees USA LLC SS108-390MB,0.886281,ok
Sonali Energees USA LLC SS108H-390MB,0.886281,ok
Zhejiang Sunpro Power Technology Co Ltd SPDG405-108M10,0.885328,ok
Mate Solar Co Ltd MS530M-72HB,0.885158,ok
SunEvo Solar Co Ltd SE5-72H-530MB,0.885158,ok
United Energy Co Ltd UE530M-72HB,0.885158,ok
Heliene 108HC-385 M10 SL,0.885035,ok
SunPower SPR-A400-BLK,0.884108,ok
