Manufacturer,Model Number,STC,PTC,Technology,A_c,N_s,BIPV,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,T_NOCT,gamma_pmp,alpha_sc,beta_oc,Width,Length,Bifacial,a_py,Il_py,Io_py,Rs_py,Rsh_py,Adj_py,solve_return_code,solve_pass,d_Isc,d_Imp,d_Vmp,d_Pmp,Error
Ablytek,6MN6A270,270.0,242.1,Mono-c-Si,1.6268799999999999,60.0,N,9.34,38.63,8.81,30.72,47.4,-0.4509,0.00486614,-0.12118231,0.992,1.64,0,1.5826946608006376,9.342590628411061,2.3387860831589717e-10,0.37508385762151936,1352.291897440361,12.009963538187574,4.0,first_pass,1.9855637476807938e-13,0.004007926324317889,-0.004137828579418162,-0.00014648636718917894,
Ablytek,6MN6A275,275.0,246.7,Mono-c-Si,1.6268799999999999,60.0,N,9.42,38.97,8.88,30.99,47.4,-0.4509,0.00490782,-0.12224888999999999,0.992,1.64,0,1.5971044250460518,9.423296596413348,2.3744442830587485e-10,0.37524735245322866,1072.2671775099707,12.071980655676196,4.0,first_pass,-2.4589907840530004e-13,0.003996564937192626,-0.0041256001611258515,-0.00014552345288215687,
Ablytek,6MN6A280,280.0,251.3,Mono-c-Si,1.6268799999999999,60.0,N,9.51,39.31,8.96,31.26,47.4,-0.4509,0.00495471,-0.12331547,0.992,1.64,0,1.6114634246546904,9.513934517408861,2.4110533154017177e-10,0.3750103830643723,906.4264194954297,12.126404234784212,4.0,first_pass,5.291712855963102e-13,0.003985385388552817,-0.004113582982304772,-0.00014459180726409816,
Ablytek,6MN6A285,285.0,256.0,Mono-c-Si,1.6268799999999999,60.0,N,9.59,39.65,9.04,31.53,47.4,-0.4509,0.00499639,-0.12438205,0.992,1.64,0,1.6249739394825296,9.593386177842543,2.41726230671783e-10,0.37512678965221785,1062.3978306132437,12.071951475467273,4.0,first_pass,-1.1797306267090923e-12,0.003974225143764891,-0.004101771616251324,-0.00014384783637754373,
Ablytek,6MN6A290,290.0,260.6,Mono-c-Si,1.6268799999999999,60.0,N,9.67,39.99,9.12,31.8,47.4,-0.4509,0.00503807,-0.12544863,0.992,1.64,0,1.6384850474727,9.672837809525854,2.4235710154783084e-10,0.37524088102288705,1278.6558838435762,12.018507462977505,4.0,first_pass,-2.3880702080872033e-15,0.003963252043580943,-0.00409016082056471,-0.00014311911521436817,
Advance Power,API-P210,210.0,186.8,Multi-c-Si,1.63777,60.0,N,7.6,35.94,7.09,29.64,47.6,-0.4501,0.00437608,-0.12011147999999999,0.995,1.646,0,1.5231167845498454,7.608307798238048,4.211611909373592e-10,0.24972809857455153,228.45207996844948,12.04459513842403,4.0,first_pass,-1.3205810713962388e-14,-0.0009724997436549763,0.0009645952775587792,-8.84253475645684e-06,
Advance Power,API-P215,215.0,191.3,Multi-c-Si,1.63777,60.0,N,7.83,36.0,7.18,29.94,47.6,-0.4501,0.004508514000000001,-0.12031199999999999,0.995,1.646,0,1.548184735613635,7.8442734118097315,5.985998395660135e-10,0.1979925726277454,108.61327173234045,15.07142587628882,4.0,first_pass,-2.2584460199526811e-13,-0.0006627200685367578,0.0006590361931917489,-4.120631856178592e-06,
Advance Power,API-P220,220.0,195.9,Multi-c-Si,1.63777,60.0,N,7.95,36.06,7.3,30.12,47.6,-0.4501,0.00457761,-0.12051252000000001,0.995,1.646,0,1.5535146275884748,7.962534038994422,6.340615598187755e-10,0.1746570058555927,110.78019612240138,15.464042422498862,4.0,first_pass,0.0,0.0035504108387664044,-0.0036631995507900666,-0.0001257945754133987,
Advance Power,API-M225,225.0,200.7,Mono-c-Si,1.63777,60.0,N,8.11,37.02,7.5,30.0,46.0,-0.4796,0.0043575029999999996,-0.13193928000000002,0.995,1.646,0,1.6064708262573768,8.125580573918706,7.752035441230185e-10,0.31033087220511824,161.5334493597395,9.817518147440603,4.0,first_pass,-1.1674453704073163e-13,-0.002142182732947144,0.0021073825503356383,-3.931458112257739e-05,
Advance Power,API-P225,225.0,200.5,Multi-c-Si,1.63777,60.0,N,8.1,36.42,7.41,30.36,47.6,-0.4501,0.00466398,-0.12171564,0.995,1.646,0,1.5705865526772105,8.114832858613694,6.582864769502749e-10,0.1817046767341998,99.22618567959616,15.653262398844134,4.0,first_pass,1.096516567531019e-15,0.0016477513995155001,-0.001671220521526936,-2.6222877964737547e-05,
