pdco,reason,name,paco,mppt_hi,pso,mppt_low,idcmax,vdco
37.500000,Paco >= Pdco,Altenergy Power System Inc : QS1 [240V] 240V [CEC 2019],1275.776855,48,1225,27,34.020716,6.896032
37.500000,Paco >= Pdco,Altenergy Power System Inc : QS1200 [240V] 240V [CEC 2019],1275.776855,48,1225,27,34.020716,6.896032
720,Paco >= Pdco,American Electric Technologies: ISIS-1000-15000-60 (N/A)V [CEC 2019],1030329.312500,1000,1000000,610,1431.012934,4552.434570
720,Paco >= Pdco,American Electric Technologies: ISIS-1000-410-60 (N/A)V [CEC 2019],1037345.562500,1000,1000000,610,1440.757726,4158.670410
650,Paco >= Pdco,Canadian Solar Incorporated : CSI-50KTL-GS [480V]Ã¢ÂÂÃ¢ÂÂ 480V [CEC 2019],50885.011719,720,50083,580,78.284633,70.467972
650,Paco >= Pdco,Canadian Solar Incorporated : CSI-50KTL-GS-FL [480V]Ã¢ÂÂ 480V [CEC 2019],50863.507813,720,50084,580,78.251550,42.721951
378,Paco >= Pdco,DASS tech: DSP-M33250KUS (N/A)V [CEC 2019],264486.968750,480,250000,330,699.700976,1508.219116
30,Paco >= Pdco,Darfon Electronics Corp : G64xxxxxx [240V] 240V [CEC 2019],631.577698,35,600.980000,26,21.052590,5.788961
475,Paco >= Pdco,EPC Power Corp : HY LC12/6-7 [480V] 480V [CEC 2019],230385.812500,600,220033,455,485.022763,652.833618
30,Paco >= Pdco,Hansol Technics: HSPV-A250 (N/A)V [CEC 2019],267.575226,36,250,27,8.919174,2.642213
40,Paco >= Pdco,Hoymiles Converter Technology Co  Ltd : MI-1200 [240V] 240V [CEC 2019],1264.160400,48,1213.200000,32,31.604010,3.572184
40,Paco >= Pdco,Hoymiles Converter Technology Co  Ltd : MI-1200T [240V] 240V [CEC 2019],1264.160400,48,1213.200000,32,31.604010,3.572184
340,Paco >= Pdco,Jema Energy: JAE7140 (N/A)V [CEC 2019],104930.054688,480,100000,290,308.617808,824.630676
340,Paco >= Pdco,Jema Energy: JAE7141 (N/A)V [CEC 2019],105257.148438,480,100000,290,309.579848,979.485718
1100,Paco >= Pdco,Nidec ASI: PV800A60UNO04LNU0NN [600V] 600V [CEC 2019],817865.187500,1400,802900,900,743.513807,1984.210205
750,Paco >= Pdco,ONE SUN MEXICO S A DE C V : 1S480-10k [480V] 480V [CEC 2019],10171.900391,850,9975,450,13.562534,63.895542
400,Paco >= Pdco,Power Electronics: FS0560CU (N/A)V [CEC 2019],587808.875000,480,560000,330,1469.522187,2643.152832
400,Paco >= Pdco,Power Electronics: FS0560PU (N/A)V [CEC 2019],587808.875000,480,560000,330,1469.522187,2643.152832
683,Paco >= Pdco,SMA America: STP 33-US-41 [480V] 480V [CEC 2019],34131.035156,800,33300,330,49.972233,128.041336
725,Paco >= Pdco,SMA America: STP 50-US-41 [480V] 480V [CEC 2019],51323.855469,800,50006,500,70.791525,116.470360
725,Paco >= Pdco,SMA America: STP 62-US-41 [480V] 480V [CEC 2019],64326.367188,800,62500,500,88.726024,133.528336
400,Paco >= Pdco,SanRex: PV-100K-48T-13 (N/A)V [CEC 2019],104403.281250,520,99680,300,261.008203,1347.906738
400,Paco >= Pdco,SanRex: PV-250K-48T-13 (N/A)V [CEC 2019],264878.750000,520,251400,300,662.196875,2306.934814
400,Paco >= Pdco,SanRex: PV-500K-48T-13 (N/A)V [CEC 2019],525195,520,501400,300,1312.987500,4442.946289
480,Paco >= Pdco,Shenzhen Growatt New Energy Technology Co  Ltd: GROWATT 10000MTLP-US [208V] 208V [CEC 2019],8915.296875,550,8630,330,18.573535,27.653156
480,Paco >= Pdco,Shenzhen Growatt New Energy Technology Co  Ltd: GROWATT 10000MTLP-US [240V] 240V [CEC 2019],10351.427734,550,10058,330,21.565474,29.923779
480,Paco >= Pdco,Shenzhen Growatt New Energy Technology Co  Ltd: GROWATT 10000MTLP-US [277V] 277V [CEC 2019],10413.255859,550,10165,330,21.694283,37.921406
700,Paco >= Pdco,Shenzhen Growatt New Energy Technology Co  Ltd: GROWATT 33000TL3-US [480V] 480V [CEC 2019],32886.925781,800,32270,480,46.981323,66.067490
700,Paco >= Pdco,Shenzhen Growatt New Energy Technology Co  Ltd: GROWATT 36000TL3-US [480V] 480V [CEC 2019],36401.980469,800,35710,520,52.002829,53.341007
