paco,name,reason,pdco,mppt_hi,pso,mppt_low,idcmax,vdco
249500,Advanced Energy: PVP250kW-480 480V [CEC 2011],MPPT_low <= 0 || MPPT_hi <=0,260230,0,633.678,0,0,341.163
4470,Advanced Solar Photonics: PV250 (208Vac) 208V [CEC 2011],MPPT_low <= 0 || MPPT_hi <=0,4594.78,0,23.9097,0,0,359.005
4830,Advanced Solar Photonics: PV250 (240Vac) 240V [CEC 2011],MPPT_low <= 0 || MPPT_hi <=0,4964.67,0,25.4282,0,0,356.237
4830,Advanced Solar Photonics: PV250 (277Vac) 277V [CEC 2011],MPPT_low <= 0 || MPPT_hi <=0,4954.02,0,30.2913,0,0,358.492
1000000,American Electric Technologies: ISIS-1000-15000-60-CG 0V [CEC 2013],MPPT_low <= 0 || MPPT_hi <=0,1.03039e+06,0,4623.02,0,1700,720.444
1000000,American Electric Technologies: ISIS-1000-410-60 410V [CEC 2013],MPPT_low <= 0 || MPPT_hi <=0,1.02306e+06,0,1178.25,0,1700,720.444
230,Apparent: SG424-120V 120V [CEC 2015],MPPT_low <= 0 || MPPT_hi <=0,251.417,0,3.07664,0,0,36.3474
2110,Carlo Gavazzi: SUNERGY 5000-70-240 240V [CEC 2011],MPPT_low > Vdco || MPPT_hi < Vdco,2191.83,130,30.8437,70,77,199.604
284,Chiconypower: MU300SAP1(240V) 240V [CEC 2011],MPPT_low <= 0 || MPPT_hi <=0,297.19,0,2.19322,0,0,31.5843
250000,DASS tech: DSP-M33250KUS 270V [CEC 2014],MPPT_low > Vdco || MPPT_hi < Vdco,264812,820,1505.27,450,535,377.869
3190,Diehl AKO: 4301 S-A (208 Vac) 208V [CEC 2010],MPPT_low > Vdco || MPPT_hi < Vdco,3417.34,470,18.4081,277,15,273.537
100000,Diehl Controls: Platinum 100 CS-A (208) 208V [CEC 2010],MPPT_low > Vdco || MPPT_hi < Vdco,106826,750,1080.14,405,286,347.974
100000,Diehl Controls: Platinum 100 CS-A (480) 480V [CEC 2010],MPPT_low > Vdco || MPPT_hi < Vdco,106677,750,1011.18,405,286,347.379
100000,Diehl Controls: Platinum 100 CS-A HE (208) 208V [CEC 2010],MPPT_low > Vdco || MPPT_hi < Vdco,105858,750,945.341,405,286,349.74
100000,Diehl Controls: Platinum 100 CS-A HE (480) 480V [CEC 2010],MPPT_low > Vdco || MPPT_hi < Vdco,105727,750,916.226,405,286,350.209
3504.09,Dow Chemical: 362589 240V [CEC 2011],MPPT_low <= 0 || MPPT_hi <=0,3678.89,0,42.6942,0,0,300.761
3530,Dow Chemical: 362590 240V [CEC 2011],MPPT_low <= 0 || MPPT_hi <=0,3716.52,0,43.4603,0,0,300.394
3538.22,Dow Chemical: 362591 240V [CEC 2011],MPPT_low <= 0 || MPPT_hi <=0,3731.15,0,44.5287,0,0,300.377
279286,ETM Electromatic: 290-480-60 480V [CEC 2014],MPPT_low <= 0 || MPPT_hi <=0,292607,0,39.2273,0,0,451.011
3690,"Eaton Phoenixtec MMPL Co., Ltd.: PV238 (208Vac) 208V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,3789.77,0,18.4932,0,0,359.271
3710,"Eaton Phoenixtec MMPL Co., Ltd.: PV238 (240Vac) 240V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,3810.05,0,19.0375,0,0,359.188
3710,"Eaton Phoenixtec MMPL Co., Ltd.: PV238 (277Vac) 277V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,3803.49,0,24.2345,0,0,360.02
3690,"Eaton Phoenixtec MMPL Co., Ltd.: PV240 (208Vac) 208V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,3789.77,0,18.4932,0,0,359.271
3980,"Eaton Phoenixtec MMPL Co., Ltd.: PV240 (240Vac) 240V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,4087.68,0,19.0375,0,0,359.188
3980,"Eaton Phoenixtec MMPL Co., Ltd.: PV240 (277Vac) 277V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,4080.95,0,25.814,0,0,359.145
4470,"Eaton Phoenixtec MMPL Co., Ltd.: PV250 (208Vac) 208V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,4594.78,0,23.9097,0,0,359.005
4830,"Eaton Phoenixtec MMPL Co., Ltd.: PV250 (240Vac) 240V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,4964.67,0,25.4282,0,0,356.237
4830,"Eaton Phoenixtec MMPL Co., Ltd.: PV250 (277Vac) 277V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,4954.02,0,30.2913,0,0,358.492
5980,"Eaton Phoenixtec MMPL Co., Ltd.: PV260 (208Vac) 208V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,6169.54,0,24.0456,0,0,362.359
6010,"Eaton Phoenixtec MMPL Co., Ltd.: PV260 (240Vac) 240V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,6189.26,0,27.4199,0,0,362.48
6000,"Eaton Phoenixtec MMPL Co., Ltd.: PV260 (277Vac) 277V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,6165.67,0,36.7923,0,0,361.123
6950,"Eaton Phoenixtec MMPL Co., Ltd.: PV270 (208Vac) 208V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,7203.42,0,22.9062,0,0,362.822
6920,"Eaton Phoenixtec MMPL Co., Ltd.: PV270 (240Vac) 240V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,7135.44,0,30.8976,0,0,362.807
7010,"Eaton Phoenixtec MMPL Co., Ltd.: PV270(277Vac) 277V [CEC 2011]",MPPT_low <= 0 || MPPT_hi <=0,7228.75,0,31.7288,0,0,362.102
