Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax,PTC,Notes,Design Qualification Certification (Optional Submission),Performance Evaluation (Optional Submission),Family,Technology,A_c,N_s,N_p,BIPV,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,gammaPmax,alphaIsc,betaVoc,alphaIpmax,betaVpmax,IPmax low,VPmax low,IPmax NOCT,VPmax NOCT,Mounting,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update
Sunpal Power Co. Ltd.,SP390M-54HB,390 W 108 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,390,362.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.96,54,2,N,13.6,37,12.85,30.4,46,-0.349,0.056,-0.26,,,2.58,29.45,10.39,28,,,,,,,8/1/2023,
Sunpal Power Co. Ltd.,SP395M-54HB,395 W 108 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,395,367.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.96,54,2,N,13.67,37,12.97,30.5,46,-0.349,0.056,-0.26,,,2.6,29.54,10.48,28.1,,,,,,,8/1/2023,
Sunpal Power Co. Ltd.,SP400M-54HB,400 W 108 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,400,371.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.96,54,2,N,13.74,37.1,13.09,30.6,46,-0.349,0.056,-0.26,,,2.63,29.64,10.58,28.1,,,,,,,8/1/2023,
Sunpal Power Co. Ltd.,SP405M-54HB,405 W 108 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,405,376.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.96,54,2,N,13.81,37.2,13.21,30.7,46,-0.349,0.056,-0.26,,,2.65,29.74,10.68,28.2,,,,,,,8/1/2023,
Sunpal Power Co. Ltd.,SP410M-54HB,410 W 108 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,410,381.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.96,54,2,N,13.88,37.3,13.33,30.8,46,-0.349,0.056,-0.26,,,2.68,29.83,10.77,28.3,,,,,,,8/1/2023,
Sunpal Power Co. Ltd.,SP415M-54HB,415 W 108 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,415,386.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.96,54,2,N,13.95,37.4,13.45,30.9,46,-0.349,0.056,-0.26,,,2.7,29.93,10.87,28.4,,,,,,,8/1/2023,
Sunpal Power Co. Ltd.,SP420M-54HB,420 W 108 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,420,391,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.96,54,2,N,14.02,37.4,13.57,31,46,-0.349,0.056,-0.26,,,2.72,30.03,10.97,28.5,,,,,,,8/1/2023,
Sunpal Power Co. Ltd.,SP425M-54HB,425 W 108 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,425,395.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.96,54,2,N,14.09,37.5,13.69,31.1,46,-0.349,0.056,-0.26,,,2.75,30.12,11.06,28.6,,,,,,,8/1/2023,
Sunpal Power Co. Ltd.,SP435M-72HB,435 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,435,404.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.23,49.4,10.69,40.7,46.2,-0.345,0.05,-0.272,,,2.17,39.46,8.6,38.4,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP440M-72HB,440 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,440,409.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.3,49.6,10.76,40.9,46.2,-0.345,0.05,-0.272,,,2.18,39.66,8.66,38.6,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP445M-72HB,445 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,445,413.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.37,49.8,10.83,41.1,46.2,-0.345,0.05,-0.272,,,2.19,39.85,8.72,38.7,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP450M-72HB,450 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,450,418.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.44,50,10.9,41.3,46.2,-0.345,0.05,-0.272,,,2.21,40.04,8.77,38.9,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP455M-72HB,455 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,455,423.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.51,50.2,10.96,41.5,46.2,-0.345,0.05,-0.272,,,2.22,40.24,8.82,39.1,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP460M-72HB,460 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,460,428.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.58,50.4,11.03,41.7,46.2,-0.345,0.05,-0.272,,,2.23,40.43,8.88,39.3,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP465M-72HB,465 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,465,433,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.65,50.6,11.1,41.9,46.2,-0.345,0.05,-0.272,,,2.25,40.62,8.93,39.5,,,,,,,4/3/2023,
Sunpal Power Co. Ltd.,SP470M-72HB,470 W 144 half-cut cell monocrystalline module black frame black backsheet 1500V max system Vdc,UL 61730,470,437.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.72,50.8,11.17,42.1,46.2,-0.345,0.05,-0.272,,,2.26,40.82,8.99,39.7,,,,,,,4/3/2023,
