Source,City,State,Country,Distance to Shore ,Depth,Power Law,Latitude,Longitude,Time Zone,,,,,,,,,,,,
NMREC,Puget Sound,WA,USA,300,60, 1/7,47.281848,-122.540919,-7,,,,,,,,,,,,
u(m/s),f (z/D =0.5),f (z/D =1),,,,,,,,,,,,,,,,,,,
0.0,0.9%,0.8%,,,,,,,,,,,,,,,,,,,
0.1,3.1%,2.6%,,,,,,,,,,,,,,,,,,,
0.2,4.2%,3.6%,,,,,,,,,,,,,,,,,,,
0.3,4.4%,3.9%,,,,,,,,,,,,,,,,,,,
0.4,4.8%,4.4%,,,,,,,,,,,,,,,,,,,
0.5,4.9%,4.5%,,,,,,,,,,,,,,,,,,,
0.6,5.3%,4.4%,,,,,,,,,,,,,,,,,,,
0.7,5.1%,4.5%,,,,,,,,,,,,,,,,,,,
0.8,5.2%,4.6%,,,,,,,,,,,,,,,,,,,
0.9,5.6%,4.8%,,,,,,,,,,,,,,,,,,,
1.0,5.0%,5.0%,,,,,,,,,,,,,,,,,,,
1.1,5.2%,4.6%,,,,,,,,,,,,,,,,,,,
1.2,5.0%,4.7%,,,,,,,,,,,,,,,,,,,
1.3,4.8%,4.5%,,,,,,,,,,,,,,,,,,,
1.4,4.7%,4.6%,,,,,,,,,,,,,,,,,,,
1.5,4.3%,4.3%,,,,,,,,,,,,,,,,,,,
1.6,4.2%,4.3%,,,,,,,,,,,,,,,,,,,
1.7,4.0%,4.0%,,,,,,,,,,,,,,,,,,,
1.8,3.4%,3.8%,,,,,,,,,,,,,,,,,,,
1.9,3.1%,3.5%,,,,,,,,,,,,,,,,,,,
2.0,2.6%,3.0%,,,,,,,,,,,,,,,,,,,
2.1,2.3%,2.8%,,,,,,,,,,,,,,,,,,,
2.2,2.0%,2.4%,,,,,,,,,,,,,,,,,,,
2.3,1.6%,2.1%,,,,,,,,,,,,,,,,,,,
2.4,1.3%,1.8%,,,,,,,,,,,,,,,,,,,
2.5,1.1%,1.8%,,,,,,,,,,,,,,,,,,,
2.6,0.7%,1.3%,,,,,,,,,,,,,,,,,,,
2.7,0.5%,1.0%,,,,,,,,,,,,,,,,,,,
2.8,0.4%,0.8%,,,,,,,,,,,,,,,,,,,
2.9,0.2%,0.5%,,,,,,,,,,,,,,,,,,,
3.0,0.1%,0.5%,,,,,,,,,,,,,,,,,,,
3.1,,0.3%,,,,,,,,,,,,,,,,,,,
3.2,,0.2%,,,,,,,,,,,,,,,,,,,
3.3,,0.1%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
