Manufacturer,Model,Technology,Message,celltype,vmp,imp,voc,isc,alpha_isc,beta_voc,gamma_pmp,n_ser,t_ref
Anhui Rinengzhongtian Semiconductor Development,QJM300-72,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.1,8.31,44.4,8.31,0.00350233,-0.150458,-0.46757,72,25
BYD Company Limited,BYD420MIK-36,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.8,10.07,50.3,10.57,0.0047565,-0.132792,-0.331,24,25
BYD Company Limited,BYD415MIK-36,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.6,10,50.1,10.5,0.004725,-0.132264,-0.331,24,25
BYD Company Limited,BYD410MIK-36,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.3,9.93,49.8,10.43,0.0046935,-0.131472,-0.331,24,25
BYD Company Limited,BYD405MIK-36,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.1,9.86,49.5,10.36,0.004662,-0.13068,-0.331,24,25
BYD Company Limited,BYD400MIK-36,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.9,9.79,49.2,10.29,0.0046305,-0.129888,-0.331,24,25
BYD Company Limited,BYD395MIK-36,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.7,9.72,48.9,10.22,0.004599,-0.129096,-0.331,24,25
BYD Company Limited,BYD390MIK-36,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.4,9.65,48.6,10.15,0.0045675,-0.128304,-0.331,24,25
Changzhou Nesl Solartech,DJ-240P-ST15,Multi-c-Si,"Could not solve, sanity check failed (-4): Rs < 0.001 || Rs > 75.0",multi,34.21,7.18,39.64,8.32,0.00746304,-0.157529,-0.4352,72,25
Crossroads Solar,Crossroads Solar 380,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.6,9.35,49,9.9,0.004851,-0.13622,-0.378,12,25
