Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_hybrid
Units,V,W,W,W,V,1/W,1/V,1/V,1/V,W,V,A,V,V,,
[0],inv_snl_ac_voltage,inv_snl_pso,inv_snl_paco,inv_snl_pdco,inv_snl_vdco,inv_snl_c0,inv_snl_c1,inv_snl_c2,inv_snl_c3,inv_snl_pnt,inv_snl_vdcmax,inv_snl_idcmax,inv_snl_mppt_low,inv_snl_mppt_hi,inv_cec_date,inv_cec_hybrid
 AIMS Power Inc : PIHY4600 [240V],240,32.2083,4600.42,4704.43,360,1.83058e-06,-4.7989e-06,-0.00065533,-0.00159696,0.55,480,13.0679,170,480,n/a,Y
 AIMS Power Inc : PIHY9600 [240V],240,68.2534,9592,9801.18,360,9.27084e-07,1.78258e-06,4.04797e-05,-0.00617076,0.65,480,27.2255,235,480,n/a,Y
 Afore New Energy Technology (Shanghai) Co - Ltd : AF4.6K-DH [240V],240,32.2083,4600,4704.01,360,1.83058e-06,-4.80053e-06,-0.00065533,-0.00159696,0.55,480,13.0667,170,480,n/a,Y
 Afore New Energy Technology (Shanghai) Co - Ltd : AF5K-DH [240V],240,35.032,4998,5112.69,360,1.21952e-06,-3.46378e-06,-0.000410411,-0.00708725,0.54,480,14.2019,185,480,n/a,Y
 Afore New Energy Technology (Shanghai) Co - Ltd : AF6K-DH [240V],240,46.4321,5995,6142.55,360,1.27597e-06,-2.21187e-06,1.01679e-05,-0.0044657,0.55,480,17.0626,220,480,n/a,Y
 Afore New Energy Technology (Shanghai) Co - Ltd : AF7.6K-DH [240V],240,46.8629,7599,7788.38,360,1.68907e-06,-8.54752e-06,-0.000296433,-0.000646511,0.55,480,21.6344,185,480,n/a,Y
 Afore New Energy Technology (Shanghai) Co - Ltd : AF7K-DH [240V],240,58.0629,6996,7144.62,360,9.6552e-07,-4.15838e-06,0.000968266,-0.011437,0.55,480,19.8462,170,480,n/a,Y
 Afore New Energy Technology (Shanghai) Co - Ltd : AF8.6K-DH [240V],240,42.462,8596,8779.3,360,1.47739e-06,-4.4907e-06,-0.000219723,-0.00166776,0.58,480,24.387,210,480,n/a,Y
 Afore New Energy Technology (Shanghai) Co - Ltd : AF8K-DH [240V],240,53.9617,7999,8179.83,360,1.08605e-06,-7.06235e-06,0.000562714,-0.00382319,0.64,480,22.7217,195,480,n/a,Y
 Afore New Energy Technology (Shanghai) Co - Ltd : AF9.6K-DH [240V],240,68.2534,9592,9801.18,360,9.27084e-07,1.78258e-06,4.04797e-05,-0.00617076,0.65,480,27.2255,235,480,n/a,Y
 Altenergy Power System Inc : ELS-3K [240V],240,60.4512,3685,3903.4,56,-9.27688e-06,-0.000484047,0.0116877,-0.0497113,4.271,60,69.7035,52,60,n/a,N
 Altenergy Power System Inc : ELS-5K [240V],240,71.9099,5008,5372.72,56,-1.09717e-05,-0.00103564,0.0201036,-0.029413,4.006,60,95.9415,52,60,n/a,N
 Amensolar Ess Co - Ltd: N3H-X10.0-US [240V],240,51.9471,10177,10475.8,360,-1.26047e-06,-2.00269e-05,-4.72679e-05,-0.000721726,33.64,430,29.0994,280,430,n/a,Y
 Amensolar Ess Co - Ltd: N3H-X5.0-US [240V],240,29.3587,5090,5247.89,360,-3.6512e-06,-1.51194e-05,0.000125826,0.000551922,22.6,430,14.5775,180,430,n/a,Y
 Amensolar Ess Co - Ltd: N3H-X6.0-US [240V],240,33.668,6117,6297.73,360,-2.58712e-06,-2.03092e-05,0.000191477,-0.000256399,22.99,430,17.4937,200,430,n/a,Y
 Amensolar Ess Co - Ltd: N3H-X7.6-US [240V],240,37.4865,7765,7993.33,360,-1.60481e-06,-2.20802e-05,-0.000935126,-0.00139183,30.71,430,22.2037,220,430,n/a,Y
 Amensolar Ess Co - Ltd: N3H-X8.0-US [240V],240,65.7917,8084,8326.87,360,-2.95092e-06,-5.90796e-06,-0.000931502,-0.00173603,17.4,430,23.1302,250,430,n/a,Y
 BYD Auto Industry Company Limited: BEG500KTL-U [480V],480,4549.66,501756,521992,890,-3.45645e-08,2.12268e-05,0.000603471,0.000463011,2,1000,586.508,780,1000,n/a,N
 BYD Auto Industry Company Limited: BEG500KTL-U/01 [480V],480,4549.66,501756,521992,890,-3.45645e-08,2.12268e-05,0.000603471,0.000463011,2,1000,586.508,780,1000,n/a,N
 BYD Auto Industry Company Limited: BEG60KTL-U-R1 [480V],480,422.471,60280,62973.4,850,-3.13154e-07,2.50785e-05,0.000781848,0.000363104,98,950,74.0864,750,950,2/1/2023,N
 CE+T America Inc : 30C [480V],480,170.35,29990,31488.5,700,-1.91245e-07,-2.12687e-05,0.00183697,-0.00911886,56.8,850,44.9836,550,850,1/3/2022,Y
 CE+T America Inc : 30C3 [480V],480,170.35,29990,31488.5,700,-1.91245e-07,-2.12687e-05,0.00183697,-0.00911886,56.8,850,44.9836,550,850,1/3/2022,Y
 Chint Power Systems America: CPS ECB125KTL-M/US-480 [480V],480,268.672,125188,128798,925,-1.01551e-07,2.03972e-05,0.00109184,-0.000119302,5.8,1100,139.241,750,1100,n/a,N
 Chint Power Systems America: CPS ECB200KTL/US-800 [800V],800,847.748,200744,205785,1225,-5.88545e-08,-1.5345e-05,-0.00100878,-0.00102249,5,1500,167.988,950,1500,n/a,N
 Chint Power Systems America: CPS ECB30KTL-O/US [480V],480,98.0848,30260,31104.3,660,-2.66591e-07,-3.39144e-05,-0.000111578,0.00144434,20,800,47.1277,450,800,9/1/2020,N
 Chint Power Systems America: CPS ECB62.5KTL-M/US-480 [480V],480,186.23,62552,64248.8,925,-1.98684e-07,2.33362e-05,0.00271133,0.00103127,6.1,1100,69.4582,750,1100,n/a,N
 DYNAPOWER COMPANY LLC: CPS-1500 Gen4 [480V],480,3922.95,1199640,1.24794e+06,1000,-1.6497e-08,2.46295e-06,-0.00119126,-0.0010036,438.5,1500,1247.94,740,1500,n/a,N
 DYNAPOWER COMPANY LLC: CPS-1500 Gen4 [600V],600,11190.4,1498660,1.54487e+06,1200,-1.71039e-08,2.01967e-06,0.000436883,0.000596091,1241,1500,1287.39,900,1500,n/a,N
 DYNAPOWER COMPANY LLC: MPS-100 [480V],480,2872.37,98861,103555,475,-1.87392e-07,6.96482e-05,0.00188056,0.000974351,803.97,600,218.01,350,600,n/a,N
 DYNAPOWER COMPANY LLC: MPS-125EHV [480V],480,631.529,123458,126718,1120,-1.55811e-07,1.30668e-05,0.00134928,0.000913941,50.5,1500,113.141,740,1500,5/23/2022,N
 DYNAPOWER COMPANY LLC: MPS-250 [480V],480,3386.13,248910,261340,475,-9.81127e-08,4.90526e-05,0.00136724,0.00061834,1638.5,600,550.189,350,600,10/15/2018,N
 DYNAPOWER COMPANY LLC: MPS-250HV [480V],480,3357.93,249619,259475,705,-6.35462e-08,2.45062e-05,0.000543062,-0.00225085,437.7,830,368.049,580,830,n/a,N
 Darfon Electronics Corp : H5000xxxxxx [240V],240,51.1736,5074,5294.01,360,-3.90586e-06,-3.83796e-05,-0.000772088,-0.00209129,0.43,380,14.7056,300,380,1/11/2021,Y
 Darfon Electronics Corp : H5001xxxxxx [240V],240,67.9805,4840,5109.4,360,-8.20195e-06,-5.43694e-05,-0.000876446,-0.00141081,28.48,380,14.1928,300,380,1/11/2021,Y
 Darfon Electronics Corp : H7xxxxxx [240V],240,70.3328,9604.01,9949.23,360,-1.98659e-06,-4.02737e-05,-8.6379e-05,0.000983117,26.9,410,27.6368,230,410,n/a,Y
 Darfon Electronics Corp : HB51xxxxxx [240V],240,83.1665,4665,5242.52,53,-1.40621e-05,-0.00448279,0.0167007,-0.0418371,0.6021,56.5,98.9154,48,56.5,12/21/2020,N
 Delta Electronics: DES10JB125K01 [480V],480,681.022,125000,128849,900,-1.21314e-07,1.58773e-05,0.00296371,0.000809601,22.4,1000,143.166,750,1000,5/11/2020,N
 Delta Electronics: DWE2100-US [480V],480,11920.5,1887740,1.95267e+06,900,-7.06445e-09,2.23687e-05,0.00118707,0.000317026,18.253,1200,2169.64,760,1200,3/1/2021,N
 Delta Electronics: DWE2800-US [480V],480,15847.8,2513390,2.60723e+06,900,-4.88257e-09,2.34649e-05,0.00130584,0.000555322,1114,1200,2896.93,760,1200,3/1/2021,N
 Delta Electronics: DWE4150-EV-US [600V],600,20439,4162102,4.29455e+06,1100,-5.28044e-09,1.90585e-06,0.000418631,-7.75423e-05,1.729,1350,3904.14,875,1350,n/a,Y
 Delta Electronics: E10-TL-US [208V],208,22.7021,8400,8672.04,380,-1.9318e-06,-3.69756e-06,0.000910448,0.000133249,1.35,480,22.8211,280,480,2/1/2023,Y
 Delta Electronics: E10-TL-US [240V],240,22.8249,9674,9952.06,380,-1.40061e-06,-1.26498e-05,-0.000385796,-0.000316499,1.38,480,26.1896,280,480,2/1/2023,Y
 Delta Electronics: E10-TL-US(AC) [208V],208,24.1231,8327.2,8544.74,400,-1.60023e-06,2.06118e-05,0.00415221,0.000524142,2,480,21.3619,350,480,2/1/2023,N
 Delta Electronics: E10-TL-US(AC) [240V],240,24.0228,9631.8,9849.88,400,-1.29752e-06,1.83766e-05,0.00520564,0.00109403,3.14,480,24.6247,350,480,2/1/2023,N
 Delta Electronics: E10_BDI [208V],208,22.7021,8400,8672.04,380,-1.9318e-06,-3.69756e-06,0.000910448,0.000133249,1.35,480,22.8211,280,480,2/1/2023,Y
 Delta Electronics: E10_BDI [240V],240,22.8249,9674,9952.06,380,-1.40061e-06,-1.26498e-05,-0.000385796,-0.000316499,1.38,480,26.1896,280,480,2/1/2023,Y
 Delta Electronics: E30-TL [277V],277,69.7064,30488,31033.5,750,-2.68254e-07,-3.04966e-05,-0.00153187,-0.0014978,1.59,830,41.378,515,830,n/a,Y
 Delta Electronics: E4-TL-US [208V],208,19.5698,3360,3441.17,380,-2.6255e-06,-1.69879e-05,-0.000316746,0.00185267,1.21,480,9.0557,200,480,2/1/2023,Y
 Delta Electronics: E4-TL-US [240V],240,18.9831,3870,3949.4,380,-1.98389e-06,-3.4004e-05,-0.00161411,0.00251521,1.27,400,10.3931,200,400,2/1/2023,Y
 Delta Electronics: E4-TL-US(AC) [208V],208,16.6045,3364,3428.88,400,-2.69803e-06,2.05306e-05,0.00236164,-0.000892037,1.23,480,8.5722,350,480,2/1/2023,N
 Delta Electronics: E4-TL-US(AC) [240V],240,18.1911,3888,3948.14,400,-2.11054e-06,-3.04289e-06,0.00262277,-0.0027926,1.28,480,9.87035,350,480,2/1/2023,N
 Delta Electronics: E4_BDI [208V],208,28.0737,3341.34,3429.53,380,-2.2734e-06,-3.75088e-06,0.00344498,0.00494044,1.24,480,9.02509,280,480,2/1/2023,Y
 Delta Electronics: E4_BDI [240V],240,29.3669,3898.18,3991.25,380,-1.91297e-06,-1.22859e-05,0.00237053,0.00228238,1.3,480,10.5033,280,480,2/1/2023,Y
 Delta Electronics: E6-TL-US [208V],208,23.781,4992,5139.5,380,-3.28827e-06,-2.02173e-05,-0.000679901,4.18484e-05,1.86,480,13.525,200,480,2/1/2023,Y
 Delta Electronics: E6-TL-US [240V],240,23.5202,5760,5916.69,380,-2.51968e-06,-2.73866e-05,-0.00150169,-0.000264593,2.25,480,15.5702,200,480,2/1/2023,Y
 Delta Electronics: E6-TL-US(AC) [208V],208,20.2288,5000,5122.86,400,-3.31767e-06,2.02282e-05,0.00305221,-0.000293555,1.85,480,12.8071,350,480,2/1/2023,N
 Delta Electronics: E6-TL-US(AC) [240V],240,22.5232,5000,5100.95,400,-3.05051e-06,3.7921e-07,0.00235776,-0.00168893,2.05,480,12.7524,350,480,2/1/2023,N
 Delta Electronics: E6_BDI [208V],208,32.0783,5025,5173.56,380,-3.43123e-06,-4.08096e-05,0.000765296,-0.00449904,3.07,480,13.6146,280,480,2/1/2023,Y
 Delta Electronics: E6_BDI [240V],240,27.0493,5823,5964.63,380,-1.40102e-06,-1.48296e-05,0.00230624,0.00191633,3.56,480,15.6964,280,480,2/1/2023,Y
 Delta Electronics: E8 Plus-TL-US [208V],208,26.4676,6676.8,6888.51,380,-1.82956e-06,-4.32451e-05,0.00122167,-0.000318635,3.22,480,18.1277,280,480,n/a,Y
 Delta Electronics: E8 Plus-TL-US [240V],240,31.5063,7715.97,7932.88,380,-1.67409e-06,-4.03927e-05,0.00338126,0.00130469,2.72,480,20.876,280,480,n/a,Y
 Delta Electronics: E8 Plus-TL-US(AC) [208V],208,25.4152,6685,6844.6,400,-1.7368e-06,2.20326e-05,0.00465275,0.00116647,3.34,480,17.1115,350,480,n/a,N
 Delta Electronics: E8 Plus-TL-US(AC) [240V],240,24.3481,7720,7879.9,400,-1.35637e-06,2.42663e-05,0.0058988,0.00249056,3.21,480,19.6998,350,480,n/a,N
 Delta Electronics: E8-TL-US [208V],208,28.6079,6656,6847.28,380,-2.75658e-06,-5.9221e-06,0.00053654,-0.000101999,1.15,480,18.0192,270,480,2/1/2023,Y
 Delta Electronics: E8-TL-US [240V],240,31.1472,7680,7883.3,380,-2.32886e-06,-2.15681e-05,-0.000682522,-0.000912422,1.19,480,20.7455,270,480,2/1/2023,Y
 Delta Electronics: E8-TL-US(AC) [208V],208,24.7851,6500,6656.66,400,-2.55437e-06,2.20994e-05,0.00320486,0.000369372,1.91,480,16.6416,350,480,2/1/2023,N
