Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Units,,,,,,m2,m,m,,A,V,A,V,A/K,V/K,C,V,A,A,Ohm,Ohm,%,%/K,,,
[0],lib_manufacturer,cec_material,lib_is_bifacial,,,cec_area,,,cec_n_s,cec_i_sc_ref,cec_v_oc_ref,cec_i_mp_ref,cec_v_mp_ref,cec_alpha_sc,cec_beta_oc,cec_t_noct,cec_a_ref,cec_i_l_ref,cec_i_o_ref,cec_r_s,cec_r_sh_ref,cec_adjust,cec_gamma_r,,,
Sunny International Power SPM-180PB203,Sunny International Power,Multi-c-Si,0,180.084,161.9,1.455,1.476,0.986,54,7.7,32.4,6.98,25.8,0.0064449,-0.114469,45.7,1.40174,7.73468,6.71269e-10,0.363011,80.5986,9.66913,-0.442,N,SAM 2021.12.02,11/16/2022
Sunny International Power SPM-180SB105,Sunny International Power,Mono-c-Si,0,180.79,161.9,1.262,1.574,0.802,72,5.58,43.6,5.05,35.8,0.0036549,-0.161146,45.7,1.92707,5.59666,7.88926e-10,0.416664,139.525,9.22991,-0.4571,N,SAM 2021.12.02,11/16/2022
Sunny International Power SPM-190PB203,Sunny International Power,Multi-c-Si,0,190.736,171.1,1.455,1.476,0.986,54,7.82,32.8,7.28,26.2,0.00654534,-0.115882,45.7,1.39891,7.83217,5.04497e-10,0.349986,224.924,6.93955,-0.442,N,SAM 2021.12.02,11/16/2022
SunPower PL-SUNP-SPR-215,SunPower,Mono-c-Si,0,214.92,198.3,1.244,1.559,0.798,72,5.8,48.3,5.4,39.8,0.0020822,-0.134854,44.7,1.87559,5.81,3.698e-11,0.514452,298.34,13.0949,-0.3904,N,SAM 2021.12.02,11/16/2022
SunPower SPR-225E-BLK-D,SunPower,Mono-c-Si,0,225.09,205,1.244,1.559,0.798,72,5.87,48.5,5.49,41,0.00251823,-0.135655,49.2,1.86986,5.87549,3.11411e-11,0.306804,328.135,11.1408,-0.3672,N,SAM 2021.12.02,11/16/2022
SunPower SPR-225E-BLK-U-ACPV,SunPower,Mono-c-Si,0,225.09,205,1.244,1.559,0.798,72,5.87,48.5,5.49,41,0.00251823,-0.135655,49.2,1.86986,5.87549,3.11411e-11,0.306804,328.135,11.1408,-0.3672,N,SAM 2021.12.02,11/16/2022
SunPower SPR-225E-WHT-D,SunPower,Mono-c-Si,0,224.775,204.7,1.244,1.559,0.798,72,5.93,48,5.55,40.5,0.0009488,-0.1488,46,1.9344,5.93454,9.7096e-11,0.282723,368.968,10.0461,-0.43,N,SAM 2021.12.02,11/16/2022
SunPower SPR-225NE-BLK-D,SunPower,Mono-c-Si,0,224.775,206.2,1.244,1.559,0.798,72,5.93,48,5.55,40.5,0.0023127,-0.12096,50.3,1.75563,5.93692,7.72631e-12,0.354199,303.679,10.252,-0.331,N,SAM 2021.12.02,11/16/2022
