Manufacturer,Model,Technology,Message,celltype,vmp,imp,voc,isc,alpha_isc,beta_voc,gamma_pmp,n_ser,t_ref
SunSpark Technology Inc.,SST-300M,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.25,9.33,39.82,9.78,0.00289488,-0.091148,-0.3116,20,25
SunSpark Technology Inc.,SST-300MB,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.3,9.33,39.8,9.78,0.0084108,-0.11542,-0.39,20,25
SunSpark Technology Inc.,SST-305M,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.4,9.44,40,9.89,0.002967,-0.0916,-0.312,20,25
SunSpark Technology Inc.,SST-305MB,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.4,9.44,40,9.89,0.0085054,-0.116,-0.39,20,25
SunSpark Technology Inc.,SST-310M,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.5,9.56,40.1,10.1,0.00303,-0.091829,-0.312,20,25
SunSpark Technology Inc.,SST-310MB,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.5,9.56,40.1,10.1,0.008686,-0.11629,-0.39,20,25
SunSpark Technology Inc.,SST-315M,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.6,9.67,40.2,10.21,0.003063,-0.092058,-0.312,20,25
SunSpark Technology Inc.,SST-315MB,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.6,9.67,40.2,10.21,0.0087806,-0.11658,-0.39,20,25
SunSpark Technology Inc.,SST-320M,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.7,9.78,40.3,10.32,0.003096,-0.092287,-0.312,20,25
SunSpark Technology Inc.,SST-320MB,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,32.7,9.78,40.3,10.32,0.0088752,-0.11687,-0.39,20,25
SunSpark Technology Inc.,SST-360M,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.5,9.12,48,9.51,0.002853,-0.10992,-0.312,24,25
SunSpark Technology Inc.,SST-365M,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.7,9.2,48.2,9.57,0.002871,-0.110378,-0.312,24,25
SunSpark Technology Inc.,SST-370M,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.9,9.28,48.5,9.61,0.002883,-0.111065,-0.312,24,25
SunSpark Technology Inc.,SST-375M,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,9.68,0.002904,-0.111523,-0.312,24,25
Tesla Inc.,T420S,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.9,10.27,48.5,11.16,0.004464,-0.1261,-0.331,24,25
Tesla Inc.,T425S,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.1,10.36,48.7,11.24,0.004496,-0.12662,-0.331,24,25
Tesla Inc.,T430S,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.2,10.44,48.8,11.32,0.004528,-0.12688,-0.331,24,25
Topsun Co Ltd,TSH-S450SB2BK(X),Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,105.08,4.28,126.32,4.5,0.00171,-0.453741,-0.4637,25,25
Topsun Co Ltd,TSH-S450SB2BK(X)5,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,52.54,8.56,63.16,9.01,0.007208,-0.117793,-0.485,50,25
Topsun Co Ltd,TSH-S455SB2BK(X),Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,105.29,4.32,126.57,4.54,0.0017252,-0.454639,-0.4637,25,25
Topsun Co Ltd,TSH-S455SB2BK(X)5,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,52.65,8.64,63.29,9.09,0.007272,-0.118036,-0.485,50,25
Topsun Co Ltd,TSH-S460SB2BK(X),Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,105.49,4.36,126.81,4.59,0.0017442,-0.455502,-0.4637,25,25
Topsun Co Ltd,TSH-S460SB2BK(X)5,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,52.75,8.72,63.41,9.17,0.007336,-0.11826,-0.485,50,25
Topsun Co Ltd,TSH-S465SB2BK(X),Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,105.68,4.4,127.04,4.63,0.0017594,-0.456328,-0.4637,25,25
