sx,phi,sz
0.0405289,0.824021,2.48168e-018
0.0414351,0.832064,-0.00028564
0.0412451,0.833288,-0.000568644
0.0409294,0.830845,-0.000846399
0.0404897,0.826076,-0.00111633
0.0399283,0.819326,-0.00137595
0.0392483,0.810708,-0.00162283
0.0384535,0.800256,-0.00185469
0.0375486,0.787973,-0.00206939
0.0384727,0.754081,-0.00238306
0.0372924,0.738254,-0.00256597
0.0360164,0.720622,-0.00272515
0.0346537,0.701206,-0.00285936
0.0332142,0.680046,-0.00296763
0.0317085,0.657204,-0.0030494
0.030148,0.632767,-0.00310442
0.0293835,0.5966,-0.00322162
0.0276944,0.569623,-0.00322336
0.0259885,0.541518,-0.00319934
0.0242787,0.512483,-0.00315094
0.0401412,0.83375,2.45794e-018
0.0410458,0.841968,-0.000283858
0.0408573,0.843238,-0.000565093
0.0405442,0.840765,-0.000841106
0.0401082,0.835922,-0.00110934
0.0395515,0.829063,-0.0013673
0.0388772,0.820306,-0.0016126
0.0380891,0.809687,-0.00184296
0.0371918,0.797208,-0.00205625
0.0381203,0.762594,-0.00236881
0.0369497,0.746527,-0.00255054
0.0356842,0.728634,-0.00270868
0.0343329,0.708935,-0.00284195
0.0329054,0.687474,-0.00294945
0.0314123,0.664313,-0.00303057
0.0298651,0.639543,-0.00308511
0.0291126,0.602794,-0.00320218
0.0274379,0.575471,-0.00320373
0.0257464,0.547014,-0.00317968
0.0240514,0.517625,-0.00313139
0.039752,0.843784,2.43411e-018
0.0406549,0.852184,-0.000282042
0.040468,0.853503,-0.000561476
0.0401575,0.850999,-0.000835714
0.0397252,0.84608,-0.00110221
0.0391732,0.83911,-0.0013585
0.0385046,0.830209,-0.00160219
0.0377232,0.819416,-0.00183101
0.0388257,0.785823,-0.00215183
0.0377666,0.771369,-0.00235428
0.0366056,0.755055,-0.00253481
0.0353507,0.736891,-0.00269187
0.0340107,0.716901,-0.0028242
0.0325952,0.695128,-0.0029309
0.031115,0.671638,-0.00301137
0.0295811,0.646524,-0.0030654
0.0288407,0.609172,-0.00318233
0.0271802,0.581493,-0.0031837
0.0255034,0.552674,-0.00315962
0.0238232,0.522919,-0.00311145
0.0393611,0.854138,2.41017e-018
0.0402623,0.862729,-0.000280193
0.040077,0.864099,-0.000557792
0.0397692,0.861564,-0.000830224
0.0393405,0.856566,-0.00109496
0.0387933,0.84948,-0.00134953
0.0381304,0.840431,-0.00159158
0.0373558,0.829458,-0.00181885
0.0384616,0.795103,-0.00213837
0.0374114,0.780419,-0.00233948
0.0362601,0.76385,-0.00251878
0.0350158,0.745406,-0.00267474
0.0336871,0.725115,-0.00280612
0.0322838,0.70302,-0.00291199
0.0308163,0.67919,-0.0029918
0.0292958,0.653721,-0.00304533
0.0285675,0.615744,-0.0031621
0.0269215,0.587697,-0.00316328
0.0252593,0.558504,-0.00313917
0.023594,0.528372,-0.00309112
0.0389685,0.864828,2.38613e-018
0.0398681,0.873618,-0.000278311
0.0396843,0.875042,-0.000554041
0.0393792,0.872475,-0.000824632
0.0389542,0.867396,-0.00108757
0.0384117,0.860191,-0.0013404
0.0377546,0.850988,-0.00158078
0.0369867,0.839829,-0.00180646
0.038096,0.804679,-0.00212466
0.0370546,0.789757,-0.00232441
0.0359131,0.772924,-0.00250247
0.0346794,0.754191,-0.00265731
0.0333621,0.733588,-0.00278771
0.031971,0.71116,-0.00289275
0.0305163,0.686979,-0.00297188
0.0290092,0.661143,-0.00302489
0.0282932,0.622519,-0.00314148
0.0266616,0.594092,-0.00314247
0.0250142,0.564513,-0.00311833
0.0233637,0.533992,-0.00307041
0.038574,0.875871,2.36198e-018
0.039472,0.884869,-0.000276392
0.0392899,0.88635,-0.000550217
0.0389874,0.88375,-0.000818932
0.0385661,0.878588,-0.00108004
0.0380283,0.871259,-0.00133109
0.037377,0.861896,-0.00156977
0.0366159,0.850545,-0.00179383
0.0377288,0.814566,-0.0021107
0.0366962,0.799398,-0.00230906
0.0355645,0.782291,-0.00248584
0.0343414,0.76326,-0.00263954
0.0330356,0.742334,-0.00276895
0.0316567,0.719562,-0.00287314
0.0302149,0.695018,-0.00295158
0.0287213,0.668803,-0.00300407
0.0280176,0.629506,-0.00312048
0.0264005,0.600687,-0.00312127
0.0247679,0.570709,-0.0030971
0.0231324,0.539787,-0.0030493
0.0381776,0.887284,2.33771e-018
0.039074,0.896501,-0.000274433
0.0388935,0.898043,-0.000546315
0.0385937,0.895409,-0.000813116
0.0381761,0.89016,-0.00107235
0.0376431,0.882702,-0.0013216
0.0369976,0.873175,-0.00155853
0.0362433,0.861624,-0.00178094
0.0373598,0.82478,-0.00209645
0.0363361,0.809357,-0.00229338
0.0352142,0.791967,-0.00246887
0.0340018,0.772626,-0.00262141
0.0327075,0.751366,-0.0027498
0.0313409,0.728239,-0.00285313
0.029912,0.703319,-0.00293087
0.0284319,0.676711,-0.00298282
0.0277407,0.636717,-0.00309906
0.0261381,0.607492,-0.00309965
0.0245204,0.577102,-0.00307544
0.0229,0.545765,-0.00302778
0.0377792,0.899088,2.31331e-018
0.0386741,0.908534,-0.000272434
0.0384952,0.910139,-0.000542332
0.038198,0.907471,-0.000807179
0.0377842,0.902132,-0.0010645
0.037256,0.894542,-0.0013119
0.0366163,0.884843,-0.00154706
0.0358688,0.873085,-0.00176778
0.0369889,0.835338,-0.00208189
0.0359742,0.819651,-0.00227737
0.0348622,0.801967,-0.00245154
0.0336605,0.782306,-0.00260289
0.0323778,0.7607,-0.00273024
0.0310235,0.737204,-0.00283269
0.0296076,0.711896,-0.00290971
0.0281411,0.684881,-0.00296112
0.0274624,0.644162,-0.00307718
0.0258745,0.614518,-0.00307758
0.0242717,0.583702,-0.00305334
0.0226664,0.551936,-0.00300581
0.0383312,0.900419,2.34711e-018
0.038272,0.920988,-0.000270394
0.0380947,0.92266,-0.000538266
0.0378002,0.919957,-0.000801118
0.0373902,0.914526,-0.00105649
0.0368667,0.906798,-0.001302
0.0362329,0.896921,-0.00153535
0.0354923,0.884949,-0.00175435
0.0366162,0.846257,-0.00206702
0.0356104,0.830296,-0.00226102
0.0345083,0.812308,-0.00243384
0.0333174,0.792315,-0.00258398
0.0320463,0.770351,-0.00271027
0.0307044,0.746472,-0.00281182
0.0293016,0.720761,-0.00288811
0.0278488,0.693326,-0.00293896
0.0271826,0.651854,-0.00305485
0.0256094,0.621775,-0.00305504
0.0240216,0.590519,-0.00303077
0.0224316,0.55831,-0.00298338
0.0379263,0.912736,2.32232e-018
0.0378677,0.933887,-0.00026831
0.037692,0.93563,-0.000534115
0.0374002,0.932891,-0.000794931
0.0369939,0.927363,-0.00104832
0.0364753,0.919492,-0.0012919
0.0358474,0.909432,-0.00152339
0.0351136,0.897237,-0.00174063
0.0362414,0.857556,-0.00205184
0.0352446,0.841311,-0.00224433
0.0341524,0.823008,-0.00241576
0.0329724,0.80267,-0.00256467
0.031713,0.780334,-0.00268987
0.0303835,0.75606,-0.00279051
0.0289939,0.729931,-0.00286605
0.0275548,0.70206,-0.00291633
0.0269013,0.659804,-0.00303203
0.0253429,0.629276,-0.00303201
0.0237702,0.597564,-0.00300772
0.0221955,0.564895,-0.00296047
0.0375191,0.925492,2.29738e-018
0.037461,0.947253,-0.000266183
0.0372869,0.949072,-0.000529877
0.0369979,0.946297,-0.000788614
0.0365954,0.940669,-0.00103997
0.0360816,0.93265,-0.00128158
0.0354595,0.922398,-0.00151119
0.0347327,0.909971,-0.00172663
0.0358644,0.869256,-0.00203633
0.0348767,0.852715,-0.00222727
0.0337946,0.834085,-0.0023973
0.0326255,0.813389,-0.00254494
0.0313778,0.790668,-0.00266904
0.0300608,0.765983,-0.00276874
0.0286844,0.739422,-0.00284352
0.0272592,0.711099,-0.00289322
0.0266184,0.668026,-0.00300873
0.0250749,0.637033,-0.0030085
0.0235174,0.604848,-0.00298418
0.0219581,0.571705,-0.00293708
0.0371093,0.938711,2.27229e-018
0.0370518,0.961115,-0.000264013
0.0368794,0.963014,-0.000525553
0.036593,0.960201,-0.000782168
0.0361943,0.95447,-0.00103145
0.0356855,0.946297,-0.00127106
0.0350693,0.935845,-0.00149874
0.0343495,0.923178,-0.00171235
0.0354852,0.881378,-0.0020205
0.0345066,0.864531,-0.00220987
0.0334345,0.845561,-0.00237845
0.0322764,0.824494,-0.00252481
0.0310405,0.801372,-0.00264779
0.0297361,0.776261,-0.00274653
0.028373,0.74925,-0.00282054
0.0269617,0.720458,-0.00286964
0.0263338,0.676535,-0.00298493
0.0248053,0.645059,-0.00298449
0.0232631,0.612385,-0.00296014
0.0217192,0.578749,-0.00291319
0.036697,0.952419,2.24704e-018
0.0366399,0.975499,-0.0002618
0.0364692,0.977483,-0.000521143
0.0361856,0.974631,-0.000775594
0.0357907,0.968793,-0.00102276
0.0352868,0.96046,-0.00126032
0.0346766,0.949802,-0.00148603
0.0339637,0.936884,-0.00169778
0.0351036,0.893945,-0.00200436
0.0341342,0.87678,-0.00219212
0.0330722,0.857456,-0.00235924
0.031925,0.836003,-0.00250428
0.0307011,0.812466,-0.00262611
0.0294093,0.786912,-0.00272388
0.0280596,0.759434,-0.00279709
0.0275356,0.715902,-0.00293661
0.0260474,0.685345,-0.00296064
0.024534,0.65337,-0.00295999
0.0230071,0.620188,-0.0029356
0.0214788,0.586041,-0.00288881
0.0362818,0.966643,2.22162e-018
0.0362253,0.990436,-0.00025954
0.0360562,0.99251,-0.000516641
0.0357754,0.989619,-0.000768885
0.0353844,0.983671,-0.0010139
0.0348853,0.97517,-0.00124936
0.0342812,0.964296,-0.00147307
0.0335754,0.951118,-0.00168291
0.0347194,0.906984,-0.00198788
0.0337592,0.889487,-0.002174
0.0327074,0.869796,-0.00233962
0.0315714,0.847942,-0.00248333
0.0303594,0.823973,-0.00260398
0.0290804,0.797958,-0.00270076
0.0277441,0.769995,-0.00277317
0.0272326,0.725539,-0.00291224
0.0257592,0.694475,-0.00293586
0.0242609,0.66198,-0.00293498
0.0227495,0.628272,-0.00291058
0.0212369,0.593595,-0.00286394
0.0358637,0.981414,2.19602e-018
0.0358078,1.00596,-0.000257232
0.0356404,1.00813,-0.000512041
0.0353623,1.0052,-0.000762028
0.0349752,0.999134,-0.00100483
0.0344811,0.99046,-0.00123817
0.033883,0.979362,-0.00145982
0.0331843,0.965912,-0.00166772
0.0343327,0.920521,-0.00197104
0.0333817,0.902679,-0.00215548
0.0323402,0.882606,-0.00231957
0.0312153,0.860334,-0.00246191
0.0300153,0.835915,-0.00258136
0.0287492,0.809422,-0.00267713
0.0274265,0.780955,-0.00274871
0.0269275,0.735533,-0.00288736
0.0254689,0.703942,-0.00291056
0.0239859,0.670907,-0.00290946
0.0224902,0.636652,-0.00288503
0.0209934,0.601426,-0.00283856
0.0354425,0.996763,2.17023e-018
0.0353871,1.0221,-0.000254872
0.0352214,1.02438,-0.00050734
0.0349461,1.0214,-0.00075502
0.0345629,1.01522,-0.000995572
0.0340738,1.00636,-0.00122672
0.0334818,0.995032,-0.00144628
