Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type
Units,V,W,W,W,V,1/W,1/V,1/V,1/V,W,V,A,V,V,,
[0],inv_snl_ac_voltage,inv_snl_pso,inv_snl_paco,inv_snl_pdco,inv_snl_vdco,inv_snl_c0,inv_snl_c1,inv_snl_c2,inv_snl_c3,inv_snl_pnt,inv_snl_vdcmax,inv_snl_idcmax,inv_snl_mppt_low,inv_snl_mppt_hi,inv_cec_date,inv_cec_type
ABB: MICRO-0.25-I-OUTD-US-208 [208V],208,2.089183,250,259.588453,40,-0.000041,-0.000091,0.000494,-0.013170,0.075000,50,6.489711,30,50,n/a,Utility Interactive
ABB: MICRO-0.25-I-OUTD-US-240 [240V],240,2.240340,250,259.492124,40,-0.000039,-0.000132,0.002423,-0.014926,0.075000,50,6.487303,30,50,n/a,Utility Interactive
ABB: MICRO-0.3-I-OUTD-US-208 [208V],208,1.846198,300,311.669313,40,-0.000033,-0.000192,0.000900,-0.031742,0.090000,50,7.791733,30,50,n/a,Utility Interactive
ABB: MICRO-0.3-I-OUTD-US-240 [240V],240,1.950535,300,311.580767,40,-0.000034,-0.000256,0.002458,-0.028224,0.090000,50,7.789519,30,50,n/a,Utility Interactive
ABB: MICRO-0.3HV-I-OUTD-US-208 [208V],208,1.769453,300,312.421060,45,-0.000045,-0.000196,0.001958,-0.023725,0.090000,60,6.942690,30,60,n/a,Utility Interactive
ABB: MICRO-0.3HV-I-OUTD-US-240 [240V],240,1.844036,300,312.004773,45,-0.000035,-0.000227,-0.000523,-0.041213,0.090000,60,6.933439,30,60,n/a,Utility Interactive
ABB: PVI-10.0-I-OUTD-x-US-208-y [208V],208,46.865426,10000,10488.305571,320,-0.000003,-0.000036,0.000305,-0.002351,0.1,416,32.775955,220,416,n/a,Utility Interactive
ABB: PVI-10.0-I-OUTD-x-US-480-y-z [480V],480,67.777681,10000,10295.977754,362,-0.000001,-0.000049,-0.000521,-0.003855,0.4,416,28.441927,220,416,n/a,Utility Interactive
ABB: PVI-12.0-I-OUTD-x-US-480-y [480V],480,62.551358,12000,12358.807193,370,-0.000001,-0.000056,-0.001439,-0.007112,0.4,416,33.402182,250,416,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US [208V],208,18.167402,3000,3142.301077,310,-0.000008,-0.000011,0.000999,-0.000287,0.1,480,10.136455,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US [240V],240,16.881294,3000,3121.670114,340,-0.000006,-0.000021,0.000583,-0.000712,0.1,480,9.181383,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US [277V],277,22.046629,3000,3106.850738,390,-0.000005,-0.000033,-0.000032,-0.001180,0.2,480,7.966284,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-A [208V],208,18.167402,3000,3142.301077,310,-0.000008,-0.000011,0.000999,-0.000287,0.1,480,10.136455,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-A [240V],240,16.881294,3000,3121.670114,340,-0.000006,-0.000021,0.000583,-0.000712,0.1,480,9.181383,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-A [277V],277,22.046629,3000,3106.850738,390,-0.000005,-0.000033,-0.000032,-0.001180,0.2,480,7.966284,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z [208V],208,18.167402,3000,3142.301077,310,-0.000008,-0.000011,0.000999,-0.000287,0.1,480,10.136455,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z [240V],240,16.881294,3000,3121.670114,340,-0.000006,-0.000021,0.000583,-0.000712,0.1,480,9.181383,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z [277V],277,22.046629,3000,3106.850738,390,-0.000005,-0.000033,-0.000032,-0.001180,0.2,480,7.966284,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z-A [208V],208,18.167402,3000,3142.301077,310,-0.000008,-0.000011,0.000999,-0.000287,0.1,480,10.136455,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z-A [240V],240,16.881294,3000,3121.670114,340,-0.000006,-0.000021,0.000583,-0.000712,0.1,480,9.181383,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z-A [277V],277,22.046629,3000,3106.850738,390,-0.000005,-0.000033,-0.000032,-0.001180,0.2,480,7.966284,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z-M-A [208V],208,18.167402,3000,3142.301077,310,-0.000008,-0.000011,0.000999,-0.000287,0.900000,480,10.136455,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z-M-A [240V],240,16.881294,3000,3121.670114,340,-0.000006,-0.000021,0.000583,-0.000712,0.900000,480,9.181383,100,480,10/15/2018,Utility Interactive
