P_0,h_0,P_50,h_50,P_100,h_100,P_150,h_150,P_200,h_200,P_250,h_250,P_300,h_300,P_350,h_350,P_400,h_400,P_450,h_450,P_500,h_500,P_550,h_550,P_600,h_600,P_650,h_650,P_700,h_700,P_750,h_750,P_800,h_800
5,198.485,5,481.126,5,541.529,5,596.57,5,650.561,5,704.758,5,759.632,5,815.366,5,872.021,5,929.598,5,988.07,5,1047.39,5,1107.51,5,1168.38,5,1229.94,5,1292.14,5,1354.94
5.12563,198.379,5.12563,479.632,5.12563,540.669,5.12563,595.967,5.12563,650.105,5.12563,704.398,5.12563,759.34,5.12563,815.125,5.12563,871.821,5.12563,929.431,5.12563,987.929,5.12563,1047.27,5.12563,1107.41,5.12563,1168.3,5.12563,1229.87,5.12563,1292.09,5.12563,1354.9
5.25126,198.276,5.25126,478.116,5.25126,539.805,5.25126,595.363,5.25126,649.648,5.25126,704.038,5.25126,759.048,5.25126,814.886,5.25126,871.622,5.25126,929.265,5.25126,987.79,5.25126,1047.16,5.25126,1107.31,5.25126,1168.22,5.25126,1229.81,5.25126,1292.04,5.25126,1354.86
5.37688,198.174,5.37688,476.575,5.37688,538.937,5.37688,594.758,5.37688,649.192,5.37688,703.678,5.37688,758.757,5.37688,814.646,5.37688,871.423,5.37688,929.098,5.37688,987.65,5.37688,1047.04,5.37688,1107.22,5.37688,1168.13,5.37688,1229.74,5.37688,1291.98,5.37688,1354.82
5.50251,198.074,5.50251,475.009,5.50251,538.065,5.50251,594.153,5.50251,648.735,5.50251,703.318,5.50251,758.466,5.50251,814.407,5.50251,871.224,5.50251,928.932,5.50251,987.511,5.50251,1046.92,5.50251,1107.12,5.50251,1168.05,5.50251,1229.67,5.50251,1291.93,5.50251,1354.77
5.62814,197.976,5.62814,473.417,5.62814,537.189,5.62814,593.546,5.62814,648.278,5.62814,702.958,5.62814,758.175,5.62814,814.168,5.62814,871.026,5.62814,928.766,5.62814,987.372,5.62814,1046.81,5.62814,1107.02,5.62814,1167.97,5.62814,1229.61,5.62814,1291.88,5.62814,1354.73
5.75377,197.88,5.75377,471.798,5.75377,536.309,5.75377,592.938,5.75377,647.821,5.75377,702.599,5.75377,757.885,5.75377,813.929,5.75377,870.828,5.75377,928.601,5.75377,987.233,5.75377,1046.69,5.75377,1106.93,5.75377,1167.89,5.75377,1229.54,5.75377,1291.82,5.75377,1354.69
5.8794,197.786,5.8794,470.15,5.8794,535.425,5.8794,592.33,5.8794,647.364,5.8794,702.24,5.8794,757.595,5.8794,813.691,5.8794,870.63,5.8794,928.436,5.8794,987.095,5.8794,1046.57,5.8794,1106.83,5.8794,1167.81,5.8794,1229.48,5.8794,1291.77,5.8794,1354.65
6.00503,197.693,6.00503,468.473,6.00503,534.536,6.00503,591.72,6.00503,646.907,6.00503,701.881,6.00503,757.305,6.00503,813.453,6.00503,870.432,6.00503,928.271,6.00503,986.957,6.00503,1046.46,6.00503,1106.73,6.00503,1167.73,6.00503,1229.41,6.00503,1291.72,6.00503,1354.61
6.13065,197.603,6.13065,466.764,6.13065,533.644,6.13065,591.11,6.13065,646.449,6.13065,701.522,6.13065,757.016,6.13065,813.216,6.13065,870.235,6.13065,928.106,6.13065,986.819,6.13065,1046.34,6.13065,1106.64,6.13065,1167.65,6.13065,1229.35,6.13065,1291.66,6.13065,1354.57
