T_35,s_35,T_25,s_25,T_15,s_15,T_5,s_5
-3.9222e-12,0.866662,-1.97815e-11,0.896999,-1.07434e-11,0.934798,-4.43947e-10,0.988694
1.53297,0.876875,1.49472,0.907412,1.43149,0.945541,1.29857,1.00025
3.07312,0.887089,2.99432,0.917824,2.86321,0.956284,2.582,1.0118
4.62043,0.897302,4.49869,0.928237,4.29483,0.967027,3.8487,1.02336
6.17487,0.907515,6.00772,0.93865,5.726,0.977771,5.09698,1.03491
7.73642,0.917729,7.52129,0.949062,7.15638,0.988514,6.32496,1.04647
9.30504,0.927942,9.03929,0.959475,8.58561,0.999257,7.53062,1.05802
10.8807,0.938155,10.5616,0.969887,10.0133,1.01,8.71172,1.06958
12.4634,0.948369,12.0881,0.9803,11.4391,1.02074,9.86581,1.08113
14.0531,0.958582,13.6187,0.990712,12.8626,1.03149,10.9902,1.09268
15.6498,0.968796,15.1532,1.00112,14.2833,1.04223,12.0819,1.10424
17.2534,0.979009,16.6916,1.01154,15.7008,1.05297,13.1376,1.11579
18.8639,0.989222,18.2337,1.02195,17.1146,1.06372,14.1537,1.12735
20.4814,0.999436,19.7793,1.03236,18.5242,1.07446,14.2839,1.1389
22.1057,1.00965,21.3284,1.04277,19.9291,1.0852,14.2839,1.15046
23.7369,1.01986,22.8807,1.05319,21.3287,1.09594,14.2839,1.16201
25.3749,1.03008,24.4361,1.0636,22.7223,1.10669,14.2839,1.17357
27.0196,1.04029,25.9944,1.07401,24.1095,1.11743,14.2839,1.18512
28.6712,1.0505,27.5556,1.08442,25.4895,1.12817,14.2839,1.19667
30.3294,1.06072,29.1193,1.09484,26.8616,1.13892,14.2839,1.20823
31.9944,1.07093,30.6854,1.10525,28.2253,1.14966,14.2839,1.21978
33.6661,1.08114,32.2538,1.11566,29.58,1.1604,14.2839,1.23134
35.3444,1.09136,33.8242,1.12607,30.9251,1.17115,14.2839,1.24289
37.0294,1.10157,35.3966,1.13649,32.2599,1.18189,14.2839,1.25445
38.721,1.11178,36.9709,1.1469,33.5841,1.19263,14.2839,1.266
40.4193,1.122,38.5468,1.15731,34.8971,1.20338,14.2839,1.27756
42.1243,1.13221,40.1243,1.16773,36.1986,1.21412,14.2839,1.28911
43.836,1.14242,41.7034,1.17814,37.488,1.22486,14.2839,1.30067
45.5544,1.15264,43.284,1.18855,38.7649,1.23561,14.2839,1.31222
47.2796,1.16285,44.8659,1.19896,40.029,1.24635,14.2839,1.32377
49.0116,1.17306,46.4492,1.20938,41.2797,1.25709,14.2839,1.33533
50.7505,1.18328,48.0338,1.21979,42.5168,1.26783,14.2839,1.34688
52.4963,1.19349,49.6196,1.2302,43.7398,1.27858,14.2839,1.35844
54.2491,1.2037,51.2067,1.24061,44.9484,1.28932,14.2839,1.36999
56.0089,1.21392,52.7949,1.25103,46.1424,1.30006,14.2839,1.38155
57.7758,1.22413,54.3842,1.26144,47.3216,1.31081,14.2839,1.3931
59.5498,1.23434,55.9745,1.27185,48.4862,1.32155,14.2839,1.40466
61.3311,1.24456,57.5658,1.28226,49.6362,1.33229,14.2839,1.41621
63.1195,1.25477,59.1581,1.29268,50.7722,1.34304,14.2839,1.42776
64.9153,1.26498,60.7514,1.30309,51.8945,1.35378,14.2839,1.43932
66.7185,1.2752,62.3457,1.3135,53.0038,1.36452,14.2839,1.45087
68.5292,1.28541,63.9412,1.32391,54.1008,1.37527,14.2839,1.46243
70.3475,1.29562,65.5379,1.33433,55.1862,1.38601,14.2839,1.47398
72.1735,1.30584,67.1362,1.34474,56.2608,1.39675,14.2839,1.48554
74.0073,1.31605,68.7362,1.35515,57.3257,1.4075,14.2839,1.49709
75.8492,1.32626,70.3384,1.36556,58.3819,1.41824,14.2839,1.50865
77.6992,1.33648,71.9431,1.37598,59.4304,1.42898,14.2839,1.5202
79.5576,1.34669,73.5508,1.38639,60.4729,1.43973,14.2839,1.53175
81.4246,1.3569,75.1621,1.3968,61.511,1.45047,14.2839,1.54331
83.3005,1.36712,76.7775,1.40721,62.5466,1.46121,14.2839,1.55486
85.1855,1.37733,78.3977,1.41763,63.5816,1.47195,14.2839,1.56642
87.08,1.38754,80.0234,1.42804,64.6181,1.4827,14.2839,1.57797
88.9843,1.39776,81.6554,1.43845,65.6584,1.49344,14.2839,1.58953
90.8988,1.40797,83.2945,1.44886,66.705,1.50418,14.2839,1.60108
92.8239,1.41818,84.9416,1.45928,67.7599,1.51493,14.2839,1.61264
94.7601,1.4284,86.5974,1.46969,68.8255,1.52567,14.2839,1.62419
96.7078,1.43861,88.2628,1.4801,69.9043,1.53641,14.2839,1.63575
98.6676,1.44882,89.9389,1.49051,70.9987,1.54716,14.2839,1.6473
100.64,1.45904,91.6266,1.50093,72.1113,1.5579,14.2839,1.65885
102.625,1.46925,93.3267,1.51134,73.2443,1.56864,14.2839,1.67041
104.625,1.47946,95.0403,1.52175,74.4002,1.57939,14.2839,1.68196
106.638,1.48968,96.7684,1.53216,75.5815,1.59013,14.2839,1.69352
108.667,1.49989,98.5121,1.54258,76.7907,1.60087,14.2839,1.70507
110.711,1.5101,100.272,1.55299,78.03,1.61162,14.2839,1.71663
