Manufacturer,Model,Technology,Message
Anhui Rinengzhongtian Semiconductor Development,QJM300-72,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-265P,Multi-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-270P,Multi-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-275P,Multi-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-280P,Multi-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-285P,Multi-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-290MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-290P,Multi-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-295MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-295P,Multi-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-300MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-300P,Multi-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-305MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-310MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3K-315MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3U-350MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3U-355MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3U-360MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3U-365MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3U-370MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3U-375MS,Mono-c-Si,"could not solve, check inputs"
Canadian Solar Inc.,CS3W-410P,,"fail(Nser, positive): 0"
1500V max system Vdc""",UL 1703,72,precheck input: variable 'celltype' (Cell technology type) required but not assigned
Canadian Solar Inc.,CS3W-415P,,"fail(Nser, positive): 0"
1500V max system Vdc""",UL 1703,72,precheck input: variable 'celltype' (Cell technology type) required but not assigned
Canadian Solar Inc.,CS3W-420P,,"fail(Nser, positive): 0"
1500V max system Vdc""",UL 1703,72,precheck input: variable 'celltype' (Cell technology type) required but not assigned
Canadian Solar Inc.,CS3W-425P,,"fail(Nser, positive): 0"
1500V max system Vdc""",UL 1703,72,precheck input: variable 'celltype' (Cell technology type) required but not assigned
Canadian Solar Inc.,CS3W-430P,,"fail(Nser, positive): 0"
1500V max system Vdc""",UL 1703,72,precheck input: variable 'celltype' (Cell technology type) required but not assigned
Canadian Solar Inc.,CS3W-435P,,"fail(Nser, positive): 0"
1500V max system Vdc""""""",UL 61730,72,precheck input: variable 'celltype' (Cell technology type) required but not assigned
Canadian Solar Inc.,CS3W-440P,,"fail(Nser, positive): 0"
1500V max system Vdc""",UL 61730,72,precheck input: variable 'celltype' (Cell technology type) required but not assigned
Canadian Solar Inc.,CS3W-445P,,"fail(Nser, positive): 0"
1500V max system Vdc""",UL 61730,72,precheck input: variable 'celltype' (Cell technology type) required but not assigned
Canadian Solar Inc.,CS3W-450P,,"fail(Nser, positive): 0"
1500V max system Vdc""",UL 61730,72,precheck input: variable 'celltype' (Cell technology type) required but not assigned
Changzhou Nesl Solartech,DJ-240P,Multi-c-Si,"could not solve, check inputs"
Changzhou Nesl Solartech,DJ-240P-ST15,Multi-c-Si,"could not solve, check inputs"
China Sunergy (Nanjing),CSUN275-60P,Multi-c-Si,"could not solve, check inputs"
DEHUI SOLAR POWER INC.,DH-72M-335W,Mono-c-Si,"could not solve, check inputs"
DEHUI SOLAR POWER INC.,DH-72M-340W,Mono-c-Si,"could not solve, check inputs"
DEHUI SOLAR POWER INC.,DH-72M-345W,Mono-c-Si,"could not solve, check inputs"
DEHUI SOLAR POWER INC.,DH-72M-350W,Mono-c-Si,"could not solve, check inputs"
DEHUI SOLAR POWER INC.,DH-72M-355W,Mono-c-Si,"could not solve, check inputs"
DEHUI SOLAR POWER INC.,DH-72M-360W,Mono-c-Si,"could not solve, check inputs"
DEHUI SOLAR POWER INC.,DH-72M-365W,Mono-c-Si,"could not solve, check inputs"
DEHUI SOLAR POWER INC.,DH-72M-370W,Mono-c-Si,"could not solve, check inputs"
DEHUI SOLAR POWER INC.,DH-72M-375W,Mono-c-Si,"could not solve, check inputs"
ENN Solar Energy,EST-220H,Thin Film,"could not solve, check inputs"
ENN Solar Energy,EST-230H,Thin Film,"could not solve, check inputs"
ENN Solar Energy,EST-240H,Thin Film,"could not solve, check inputs"
ENN Solar Energy,EST-480,Thin Film,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6-36-145,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6-42-170,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6-48-195,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6/60B260,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6/60B265,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6/60B270,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B315,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B320,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B325,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B330,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B335,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B340,Multi-c-Si,"could not solve, check inputs"
GCL System Integration Technology Co._ Ltd.,GCL-P6/72B345,Multi-c-Si,"could not solve, check inputs"
GESOLAR,GES-P240,Multi-c-Si,"could not solve, check inputs"
Grape Solar,CS-P-240-DJ,Multi-c-Si,"could not solve, check inputs"
Hanwha Q CELLS,Q.PEAK G4.1/ Max 300,Multi-c-Si,"could not solve, check inputs"
Hanwha Q CELLS,Q.PEAK G4.1/ Max 305,Multi-c-Si,"could not solve, check inputs"
Heliene,60M305,Mono-c-Si,"fail(Nser, positive): 0"
Heliene,72M-375 Bifacial,Mono-c-Si,"could not solve, check inputs"
Jiangsu Best Solar High-Tech,BEST-230D-20,Mono-c-Si,"could not solve, check inputs"
Jiangsu Best Solar High-Tech,BEST-240D-20,Mono-c-Si,"could not solve, check inputs"
Jiangsu Sainty Machinery,GES-P240,Multi-c-Si,"could not solve, check inputs"
Jiangxi Best Solar High-Tech,BEST-230D-20,Mono-c-Si,"could not solve, check inputs"
Jiangxi Best Solar High-Tech,BEST-240D-20,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS260M-60B-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS265M-60B-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS265PP-60-MX,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS270M-60B-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS270M-60-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS270PP-60-MX,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS275M-60B-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS275M-60-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS275PP-60-MX,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS280M-60B-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS280M-60-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS280PP-60-MX,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS285M-60B-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS285M-60-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS285PP-60-MX,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM290PP-60H,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM290PP-60H-V,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS290M-60B-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS290M-60-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS290PP-60-MX,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM295PP-60H,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM295PP-60H-V,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS295M-60B-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS295M-60-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM300M-60HBL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM300PP-60H,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM300PP-60H-V,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS300M-60B-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS300M-60-MX,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM305M-60HBL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM305M-60HL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM305PP-60H,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM305PP-60H-V,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM310M-60HBL,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM310M-60HBL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM310M-60HL-BDVP,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM310M-60HL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM310PP-60H,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM310PP-60H-V,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS310M-60HBL-MX3,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS310M-60HBL-MX3-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS310M-60HBL-TI,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS310M-60HBL-TI-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM315M-60HBL,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM315M-60HBL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM315M-60HL,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM315M-60HL-BDVP,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM315M-60HL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM315M-60HL-TV,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS315M-60HBL-MX3,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS315M-60HBL-MX3-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS315M-60HBL-TI,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS315M-60HBL-TI-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS315M-60HL-MX3,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS315M-60HL-MX3-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS315M-60HL-TI,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS315M-60HL-TI-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM320M-60HBL,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM320M-60HBL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM320M-60HL,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM320M-60HL-BDVP,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM320M-60HL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM320M-60HL-TV,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS320M-60HBL-MX3,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS320M-60HBL-MX3-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS320M-60HBL-TI,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS320M-60HBL-TI-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS320M-60HL-MX3,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS320M-60HL-MX3-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS320M-60HL-TI,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS320M-60HL-TI-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM325M-60HBL,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM325M-60HBL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM325M-60HL,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM325M-60HL-BDVP,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM325M-60HL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM325M-60HL-TV,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS325M-60HBL-MX3,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS325M-60HBL-MX3-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS325M-60HBL-TI,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS325M-60HBL-TI-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS325M-60HL-MX3,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS325M-60HL-MX3-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS325M-60HL-TI,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS325M-60HL-TI-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM330M-60HBL,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM330M-60HBL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM330M-60HL,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM330M-60HL-BDVP,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM330M-60HL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM330M-60HL-TV,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS330M-60HBL-MX3,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS330M-60HBL-MX3-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS330M-60HBL-TI,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS330M-60HBL-TI-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS330M-60HL-MX3,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS330M-60HL-MX3-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS330M-60HL-TI,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS330M-60HL-TI-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM335M-60HBL,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM335M-60HBL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM335M-60HL,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM335M-60HL-BDVP,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM335M-60HL-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM335M-60HL-TV,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKM335PP-72H,Multi-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS335M-60HBL-MX3,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS335M-60HBL-MX3-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS335M-60HBL-TI,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS335M-60HBL-TI-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS335M-60HL-MX3,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS335M-60HL-MX3-Q,Mono-c-Si,"could not solve, check inputs"
Jinko Solar Co._ Ltd,JKMS335M-60HL-TI,Mono-c-Si,"could not solve, check inputs"
