Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
835830,Belo_Horiz/Pampulha,BRA,Brazil,-19.850000,-43.950000,-3.0,785,SWERA
Year,Month,Day,Hour,Beam,Diffuse,Tdry,Tdew,Pres,Wdir,Wspd,Aod,Pwp,Alb
2000,1,1,0,0,0,22,20,920,0,0,0.067,3.7,0.16
2000,1,1,1,0,0,21,20,920,0,0,0.067,3.7,0.16
2000,1,1,2,0,0,21,20,920,20,3.1,0.067,3.7,0.16
2000,1,1,3,0,0,20,20,920,0,0,0.067,3.7,0.16
2000,1,1,4,0,0,20,20,920,0,0,0.067,3.7,0.16
2000,1,1,5,12,18,21,20,920,50,2.6,0.067,3.7,0.16
2000,1,1,6,41,79,22,19,920,40,4.1,0.067,3.5,0.16
2000,1,1,7,47,255,22,19,921,330,5.1,0.067,3.5,0.16
2000,1,1,8,75,154,23,19,921,40,3.1,0.067,3.5,0.16
2000,1,1,9,249,304,22,20,923,10,5.1,0.067,3.7,0.16
2000,1,1,10,326,452,22,20,923,10,3.1,0.067,3.7,0.16
2000,1,1,11,343,560,22,20,923,330,3.1,0.067,3.7,0.16
2000,1,1,12,180,622,21,20,923,10,3.1,0.067,3.7,0.16
2000,1,1,13,191,346,22,20,923,30,5.1,0.067,3.7,0.16
2000,1,1,14,162,350,21,20,923,10,2.1,0.067,3.7,0.16
2000,1,1,15,70,267,21,20,923,50,1,0.067,3.7,0.16
2000,1,1,16,121,120,21,20,923,30,1,0.067,3.7,0.16
2000,1,1,17,36,118,21,20,923,330,4.1,0.067,3.7,0.16
2000,1,1,18,1,15,20,19,923,60,4.1,0.067,3.5,0.16
2000,1,1,19,0,0,20,19,923,60,3.1,0.067,3.5,0.16
2000,1,1,20,0,0,20,19,923,60,1,0.067,3.5,0.16
2000,1,1,21,0,0,20,19,923,20,2.1,0.067,3.5,0.16
2000,1,1,22,0,0,20,19,923,20,1,0.067,3.5,0.16
2000,1,1,23,0,0,20,19,920,60,1,0.067,3.5,0.16
2000,1,2,0,0,0,20,19,920,60,1,0.035,3.5,0.16
2000,1,2,1,0,0,20,19,920,60,1,0.035,3.5,0.16
2000,1,2,2,0,0,20,19.5,920,60,1.5,0.035,3.6,0.16
2000,1,2,3,0,0,20,20,920,90,2.1,0.035,3.7,0.16
2000,1,2,4,0,0,20,19.5,920,90,1.5,0.035,3.6,0.16
2000,1,2,5,13,19,20,19,920,300,1,0.035,3.5,0.16
2000,1,2,6,43,86,20,19,920,60,3.1,0.035,3.5,0.16
2000,1,2,7,147,100,21,20,921,10,4.1,0.035,3.7,0.16
2000,1,2,8,287,230,21,20,921,10,4.1,0.035,3.7,0.16
2000,1,2,9,101,381,23,20,921,330,4.1,0.035,3.7,0.16
2000,1,2,10,200,398,24,19,921,10,6.2,0.035,3.5,0.16
2000,1,2,11,419,319,25,18,920,330,6.2,0.035,3.2,0.16
2000,1,2,12,203,329,21,20,920,340,3.1,0.035,3.7,0.16
2000,1,2,13,328,461,23,20,919,320,3.1,0.035,3.7,0.16
2000,1,2,14,92,372,24,20,919,350,4.6,0.035,3.7,0.16
2000,1,2,15,84,338,22,19,920,0,0,0.035,3.5,0.16
2000,1,2,16,99,251,22,20,920,0,0,0.035,3.7,0.16
2000,1,2,17,29,84,22,20,920,0,0,0.035,3.7,0.16
2000,1,2,18,8,13,22,20,920,0,0,0.035,3.7,0.16
2000,1,2,19,0,0,21,20,921,0,0,0.035,3.7,0.16
2000,1,2,20,0,0,21,20,921,0,0,0.035,3.7,0.16
2000,1,2,21,0,0,21,20,921,0,0,0.035,3.7,0.16
2000,1,2,22,0,0,21,20,920,10,1,0.035,3.7,0.16
2000,1,2,23,0,0,21,20,920,10,1,0.035,3.7,0.16
2000,1,3,0,0,0,21,20,920,0,0,0.064,3.7,0.16
2000,1,3,1,0,0,20,20,920,0,0,0.064,3.7,0.16
2000,1,3,2,0,0,20,20,920,0,0,0.064,3.7,0.16
2000,1,3,3,0,0,20,19,920,40,2.6,0.064,3.5,0.16
2000,1,3,4,0,0,20,19,920,330,3.1,0.064,3.5,0.16
2000,1,3,5,5,14,20,19,921,20,2.6,0.064,3.5,0.16
2000,1,3,6,85,43,21,19,921,360,4.1,0.064,3.5,0.16
2000,1,3,7,53,196,22,19,921,340,2.1,0.064,3.5,0.16
2000,1,3,8,57,442,23,18,921,50,3.1,0.064,3.2,0.16
2000,1,3,9,143,210,25,19,920,40,2.1,0.064,3.5,0.16
2000,1,3,10,34,380,25,19,920,30,5.1,0.064,3.5,0.16
2000,1,3,11,194,332,27,18,920,50,4.1,0.064,3.2,0.16
2000,1,3,12,130,595,26,19,920,20,4.1,0.064,3.5,0.16
2000,1,3,13,17,589,26,18.7,920,20,4.4,0.064,3.4,0.16
2000,1,3,14,61,336,26,18.3,920,20,4.8,0.064,3.3,0.16
2000,1,3,15,93,360,26,18,920,360,5.1,0.064,3.2,0.16
2000,1,3,16,46,259,23,19,920,40,1,0.064,3.5,0.16
2000,1,3,17,72,138,22,20,921,100,2.1,0.064,3.7,0.16
2000,1,3,18,12,20,22,21,921,0,0,0.064,4,0.16
2000,1,3,19,0,0,22,21,922,0,0,0.064,4,0.16
2000,1,3,20,0,0,22,21,922,0,0,0.064,4,0.16
2000,1,3,21,0,0,22,20,922,0,0,0.064,3.7,0.16
2000,1,3,22,0,0,22,20,922,0,0,0.064,3.7,0.16
2000,1,3,23,0,0,22,20,922,0,0,0.064,3.7,0.16
2000,1,4,0,0,0,21.5,19.3,927,0,0.1,0.031,3.5,0.16
2000,1,4,1,0,0,21,18.6,927,0,0.2,0.031,3.4,0.16
2000,1,4,2,0,0,20.5,17.9,927,0,0.2,0.031,3.2,0.16
2000,1,4,3,0,0,20,17.2,927,0,0.3,0.031,3.1,0.16
2000,1,4,4,0,0,21,17.3,927,0,0.7,0.031,3.1,0.16
2000,1,4,5,121,8,22,17.5,928,0,1,0.031,3.1,0.16
2000,1,4,6,202,92,23,17.7,928,0,1.4,0.031,3.2,0.16
